"","lower","25","mid","75","upper"
"arena2",-0.901573996649541,-0.374990272804426,-0.137750699212852,0.0948498355812772,0.621352439713484
"c_b_cys",-0.670967220088817,-0.119054668071057,0.110506302474866,0.338616141371714,0.839784910008686
"ce_sha",-0.600640737639502,-0.103800469003218,0.115270111473568,0.337033455424796,0.863201520907719
"de_sal",-0.521162150086061,-0.0361895498379844,0.199240414050934,0.424368267317052,0.944590128461392
"fa_mar",-0.906932137054681,-0.352101806597838,-0.125857680978164,0.113200590292667,0.620110665381372
"fl_psy",-0.955483304564381,-0.462438475141644,-0.240249389671008,-0.00895397140660253,0.485016200208268
"ic_hof",-0.853173452226481,-0.324000242659044,-0.0877703812925404,0.132571010450139,0.684128907148135
"ic_mul",-0.890911367843111,-0.367501669738318,-0.127119848048592,0.100799249804062,0.586908217110451
"ku_thy",-0.936971123393521,-0.438920427691673,-0.2198502503041,0.00585241082562508,0.529491692670956
"lo_sal",-0.532857041780526,-0.0571194427886959,0.164352995973051,0.396664032439646,0.940809148037327
"my_arc",-0.582237830994403,-0.0749934484335382,0.152006185649357,0.384810990565718,0.896162203099603
"pa_kab",-0.795857674474683,-0.247429090275768,0.000732150977354295,0.236617398604615,0.80752580475077
"pa_min",-0.957296287764121,-0.469963530382055,-0.248014842811357,-0.0145961344378647,0.475962119766637
"pa_ther",-0.847499081495629,-0.363554455298232,-0.125084888385478,0.111035204268519,0.630900854793511
"prv",-0.920041732734098,-0.39820470670528,-0.16258129318147,0.0648953505488016,0.567977002354527
"pspv",-0.479712195976765,-0.00415285796065283,0.221127352792877,0.455954987590381,0.924016179778351
"rlo",-0.738534187857006,-0.235211747673276,-0.00443946878690323,0.215889857558763,0.697690667228852
"sch",-0.709027342259129,-0.180577308998006,0.0489515828705814,0.287390105064675,0.835225718305765
"smallUK",-0.857562159096825,-0.342289952269813,-0.103926809861533,0.132203159370125,0.689241659904424
"sp_des",-1.13677382485528,-0.751209343354376,-0.583088373378645,-0.41884543523559,-0.0248601574849323
"te_bry",-0.861454755933933,-0.383078089907145,-0.152268373932152,0.0857666403251605,0.581386572637281
"te_mar",-1.12688201657277,-0.7014969660384,-0.519964217567876,-0.336144295816679,0.0957674097484345
"ven",-0.495978798028516,0.0535257191208905,0.269552349230132,0.495875811988369,0.988771034892858
