"","lower","25","mid","75","upper"
"arena2",-0.932297532371289,-0.413774181710197,-0.183311105376253,0.0358138799645787,0.561649595626765
"c_b_cys",-0.987381117404912,-0.479768551348151,-0.243938413671846,-0.0219361239950344,0.503150722029067
"ce_sha",-0.49282294487211,-0.00424002449287618,0.21815445692262,0.435553783907976,0.918458454717152
"de_sal",-0.44380848980552,0.0632942053622991,0.28746778094159,0.494470700268796,0.963401695713421
"fa_mar",-0.91472994569024,-0.402640455983217,-0.182239203651281,0.0388802551362142,0.59439648395498
"fl_psy",-1.06198964527364,-0.555131782398239,-0.352728584668213,-0.131042067855235,0.347465984162818
"ic_hof",-0.836536998445726,-0.272520267473031,-0.0423782504796765,0.192666490711001,0.695419864729186
"ic_mul",-1.14009301947456,-0.750523513302485,-0.586270656990099,-0.424441157098333,-0.0422938440480915
"ku_thy",-0.625531538145678,-0.0976754409166278,0.129751464659305,0.353911415478535,0.846259717270272
"lo_sal",-0.773526777382832,-0.231307605392838,-0.00989247277989073,0.231082180647036,0.755083577498842
"my_arc",-0.866648519781698,-0.359897403690731,-0.136122472434831,0.0916304943890918,0.579083363735597
"pa_kab",-0.955529933926863,-0.454066711113477,-0.229754867592586,-0.0194990193187228,0.468231240745043
"pa_min",-0.973190455978022,-0.457572396189856,-0.240802602148242,-0.019979411888239,0.454532208663106
"pa_ther",-1.10003285239543,-0.681730326669701,-0.480485014010548,-0.289099076363658,0.216156491123012
"prv",-0.504762040753798,-0.0076562536170785,0.216688126023013,0.440023782930174,0.936776690846308
"pspv",-0.554092669265805,-0.0142257088933874,0.203749264513427,0.42152480357594,0.924930435232825
"rlo",-0.614719192917105,-0.114010762279643,0.123903453483745,0.348660363478132,0.863180364727183
"sch",-0.982238148084134,-0.507470924974592,-0.286806234135835,-0.0661373337337499,0.453821862055974
"smallUK",-0.653101915419449,-0.0922696003127357,0.128769670141391,0.354881821223197,0.862844500835413
"sp_des",-1.07273926827437,-0.593406794403552,-0.382539820383907,-0.161401361352644,0.346719983457276
"te_bry",-0.977563067761626,-0.485276232094126,-0.267016831397247,-0.0391497637444545,0.458461013498877
"te_mar",-1.11281927441262,-0.709800733792571,-0.524371509706871,-0.340200424136962,0.114828339022651
"ven",-0.893491408372202,-0.358080850362879,-0.108483254761308,0.131081152606238,0.659661740594698
