"","lower","25","mid","75","upper"
"arena2",-0.879663032159043,-0.395050032447412,-0.159545334915981,0.0604520070506118,0.558279252113731
"c_b_cys",-1.006920849977,-0.472266270724822,-0.251567369685078,-0.0251884827433445,0.477673549452731
"ce_sha",-0.506943737067954,-0.00930903278122568,0.209180480154291,0.440340809661532,0.972790858899358
"de_sal",-0.467451816430214,0.0479751708616307,0.268383671566774,0.490068511690154,0.968155812772393
"fa_mar",-0.966051860951819,-0.41523267720369,-0.182335268551223,0.0546072097232056,0.565773760358924
"fl_psy",-1.04566258055265,-0.550517864443708,-0.342493105581652,-0.130024149404319,0.374863655112587
"ic_hof",-0.724945004874591,-0.300654983331587,-0.0817751946412313,0.14537361736181,0.67613689275468
"ic_mul",-1.16740707023292,-0.759015410154696,-0.589053776200179,-0.419538989560276,0.00353140938463017
"ku_thy",-0.611133618172326,-0.110495315147508,0.123387295177004,0.358974197814717,0.852147168755697
"lo_sal",-0.790193000201948,-0.241106421615346,-0.00305755694089758,0.223173970195851,0.77633704164374
"my_arc",-0.869707122660299,-0.362103257197154,-0.153407037657642,0.0632143769487029,0.606190775701239
"pa_kab",-0.966537520904044,-0.445362672081169,-0.205657815452453,0.0171217532768661,0.544906876314271
"pa_min",-1.03804050442367,-0.495782508701118,-0.254015856382067,-0.0152288132376757,0.529590976918246
"pa_pse",-0.531350490582418,-0.00470401905802835,0.212636322168772,0.443839004829021,0.967387244395873
"pa_ther",-1.12661486217359,-0.66581447030001,-0.473676066926693,-0.272568702659632,0.215556988603816
"prv",-0.522844481969281,-0.0267766477924781,0.190608964062579,0.404659292716173,0.928842244793843
"pspv",-0.506081273496656,-0.0253352728256908,0.197883114330096,0.418465140569177,0.900510971690694
"rlo",-0.610229339063085,-0.103164166712029,0.127788752887635,0.363948082075409,0.8686040982543
"sch",-1.03777602234172,-0.528830371048445,-0.308030372627033,-0.0843941011523212,0.381780852791803
"sp_des",-0.589755032803099,-0.0932193720738712,0.136525232064565,0.36954097497744,0.879130067474411
"smallUK",-1.05011767310986,-0.587786685960017,-0.381597199357286,-0.170588986042462,0.295288841657841
"te_bry",-0.929334022347975,-0.477605311904168,-0.261840776783148,-0.0484712684847129,0.468795747226674
"te_mar",-1.15402194417256,-0.717513573103637,-0.527362686477964,-0.33937016494507,0.141695048546835
"ven",-0.811597860725908,-0.33008058172772,-0.107326154757093,0.125256338353311,0.643107768724771
