"","2.5%","25%","50%","75%","97.5%",""
"b[(Intercept) Stock:Nadina]","-0.214529346299211","-0.0197488298023507","0.0241098861259552","0.129093187639745","0.450748492195475","ce_sha"
"b[(Intercept) Stock:Pitt]","-0.342319275855148","-0.0662038839264122","7.04645305521941e-05","0.0642117926496976","0.322113703663838","ce_sha"
"b[(Intercept) Stock:Portage]","-0.471356341606499","-0.11742238919294","-0.016448364662736","0.0285007594282263","0.228720335061808","ce_sha"
"b[(Intercept) Stock:Quesnel]","-0.493193433220068","-0.140777397716442","-0.0245697133276649","0.0195632551743814","0.214654427742998","ce_sha"
"b[(Intercept) Stock:Raft]","-0.427699963468979","-0.0996822854733649","-0.00929598564643909","0.0360177947982963","0.265115706140935","ce_sha"
"b[(Intercept) Stock:Scotch]","-0.310921523691926","-0.0555127772405974","0.000989411359510001","0.0680357995316351","0.342897729886387","ce_sha"
"b[(Intercept) Stock:Seymour]","-0.447533508664403","-0.113811874226325","-0.0142195867121823","0.0306989351094701","0.243983981432275","ce_sha"
"b[(Intercept) Stock:Stellako]","-0.429794439770016","-0.0985195992848905","-0.00795399667807352","0.0392093785879651","0.253423467060342","ce_sha"
"b[(Intercept) Stock:Weaver]","-0.457130973823079","-0.117055805982003","-0.0149075814168425","0.0291473192322044","0.241243039764074","ce_sha"
"b[(Intercept) Stock:Birkenhead]","-0.652124974076715","-0.230394272243591","-0.0735513347519209","0.00243866679089381","0.158622942083025","de_sal"
"b[(Intercept) Stock:Bowron]","-0.618874812449305","-0.205433558950058","-0.0543190068818169","0.0040448575253004","0.168632427596786","de_sal"
"b[(Intercept) Stock:Chilko]","-0.193903533041367","-0.0120938862712127","0.0465247221905837","0.176402061100794","0.545410329770959","de_sal"
"b[(Intercept) Stock:E.Stuart]","-0.364430827311621","-0.0719993609385248","-0.000881366924985115","0.0650063285595899","0.337491488577998","de_sal"
"b[(Intercept) Stock:Fennell]","-0.645443881868907","-0.218026666602021","-0.0637303546242606","0.00404814156904497","0.15786629301384","de_sal"
"b[(Intercept) Stock:Gates]","-0.149142885721776","-0.00102574379130062","0.0738824338106094","0.244883423246935","0.650929797601612","de_sal"
"b[(Intercept) Stock:Harrison]","-0.141157174294924","-0.000114913691418201","0.0725095250441814","0.223346449173388","0.645869228474397","de_sal"
"b[(Intercept) Stock:L.Shuswap]","-0.236611859268019","-0.0236339445201572","0.0276691159909079","0.141872910379009","0.497689970640425","de_sal"
"b[(Intercept) Stock:L.Stuart]","-0.477581518160383","-0.126703367775921","-0.0241229906235121","0.0271779462822038","0.238529937024507","de_sal"
"b[(Intercept) Stock:Nadina]","-0.236476463092663","-0.0225707746294569","0.0277657460807334","0.145044437068999","0.501220701063378","de_sal"
"b[(Intercept) Stock:Pitt]","-0.367578830431856","-0.0720753489204925","0.000318926686982553","0.0730591685951408","0.339961999133705","de_sal"
"b[(Intercept) Stock:Portage]","-0.492502162355257","-0.135682391740899","-0.0242108542651115","0.0276739164907671","0.257946645142839","de_sal"
"b[(Intercept) Stock:Quesnel]","-0.511767961701347","-0.151968515609889","-0.0350504557854259","0.0157939696023992","0.217644332855484","de_sal"
"b[(Intercept) Stock:Raft]","-0.441454869472645","-0.108724491111198","-0.0110581078138635","0.0398264402127127","0.273978975944591","de_sal"
"b[(Intercept) Stock:Scotch]","-0.35479752856491","-0.0658403878190005","0.00162211056235117","0.075270136653126","0.375514377584441","de_sal"
"b[(Intercept) Stock:Seymour]","-0.482335455019971","-0.124096782683765","-0.0212922265668363","0.0326813625581824","0.247154803085112","de_sal"
"b[(Intercept) Stock:Stellako]","-0.439907299773873","-0.110433673036489","-0.0134108823149691","0.042432140828536","0.280124677546326","de_sal"
"b[(Intercept) Stock:Weaver]","-0.469704814167652","-0.137176553259303","-0.0242807146686625","0.0307927202352075","0.234728128160742","de_sal"
"b[(Intercept) Stock:Birkenhead]","-0.696668089674009","-0.261124823043522","-0.0938746631140051","0.00033150646629243","0.187386500550823","fa_mar"
"b[(Intercept) Stock:Bowron]","-0.651508654243475","-0.273063397100929","-0.105550619090081","-0.000850166897215973","0.166492973870531","fa_mar"
"b[(Intercept) Stock:Chilko]","-0.208547968679016","-0.0105345230594631","0.0689858314846403","0.219399740544582","0.580298126060366","fa_mar"
"b[(Intercept) Stock:E.Stuart]","-0.408140125201665","-0.098427057616642","-0.00333768696790702","0.0790739485065189","0.359846324937898","fa_mar"
"b[(Intercept) Stock:Fennell]","-0.696385760638221","-0.290063264946639","-0.108200498431375","-0.00576500660684572","0.150046580199703","fa_mar"
"b[(Intercept) Stock:Gates]","-0.131125748883166","0.019695015386325","0.150491333282128","0.344904323707931","0.760019283554303","fa_mar"
"b[(Intercept) Stock:Harrison]","-0.116026430927699","0.0262408795572272","0.15972311234834","0.353281485219526","0.757551221582048","fa_mar"
"b[(Intercept) Stock:L.Shuswap]","-0.269723847392573","-0.0256562373167861","0.0455651964543563","0.169865316981774","0.529004930509222","fa_mar"
"b[(Intercept) Stock:L.Stuart]","-0.527965879538405","-0.182123920056859","-0.0501133152607457","0.024652840669239","0.246786852320355","fa_mar"
"b[(Intercept) Stock:Nadina]","-0.255494127748051","-0.0312348000305723","0.040632361926572","0.161540697960818","0.514528751158993","fa_mar"
"b[(Intercept) Stock:Pitt]","-0.33381172665501","-0.0401971493830144","0.0433026869360535","0.189077391829033","0.525859903027208","fa_mar"
"b[(Intercept) Stock:Portage]","-0.592797696247069","-0.229011079327682","-0.0789294359328556","0.0108358428757624","0.219229156114284","fa_mar"
"b[(Intercept) Stock:Quesnel]","-0.592992368690556","-0.231702848884364","-0.0786518729394646","0.00766773105987361","0.215060227389841","fa_mar"
"b[(Intercept) Stock:Raft]","-0.456469362471985","-0.141039762456658","-0.0218112621544216","0.054063760601775","0.303296896137107","fa_mar"
"b[(Intercept) Stock:Scotch]","-0.398228999895357","-0.0934329079106121","-0.000220757065466492","0.0932346925193786","0.383626309056985","fa_mar"
"b[(Intercept) Stock:Seymour]","-0.560204478978985","-0.198146696808767","-0.0574794446502311","0.0171966729424912","0.244359815125265","fa_mar"
"b[(Intercept) Stock:Stellako]","-0.454593053380033","-0.138993751629197","-0.0255067814651559","0.0440910861146064","0.267526287877384","fa_mar"
"b[(Intercept) Stock:Weaver]","-0.513029067821158","-0.174954280688878","-0.041631378623914","0.0302104770570767","0.253975061191841","fa_mar"
"b[(Intercept) Stock:Birkenhead]","-0.592394774146535","-0.188764632029715","-0.05038957959236","0.00403140640942724","0.144996994375582","fl_psy"
"b[(Intercept) Stock:Bowron]","-0.578430426800731","-0.17419342245381","-0.042210505156885","0.00689803430741928","0.165514776199117","fl_psy"
"b[(Intercept) Stock:Chilko]","-0.170896668156146","-0.0132571452788263","0.0330570947238641","0.149864178204332","0.520884823522622","fl_psy"
"b[(Intercept) Stock:E.Stuart]","-0.334766857191035","-0.0679049018365336","-0.00223934060190117","0.0559090443904832","0.30519954503451","fl_psy"
"b[(Intercept) Stock:Fennell]","-0.611871614684997","-0.183284752913406","-0.048248755751092","0.00538435487093412","0.165227981535154","fl_psy"
"b[(Intercept) Stock:Gates]","-0.1417862677012","-0.00258615263661811","0.0524947229735515","0.197221453179234","0.59244017686044","fl_psy"
"b[(Intercept) Stock:Harrison]","-0.144887551527909","-0.00398493311324166","0.0525158062613287","0.197361077070329","0.587591848731605","fl_psy"
"b[(Intercept) Stock:L.Shuswap]","-0.206473008756335","-0.0182591702736894","0.0232416530271625","0.130516302354625","0.474604908401782","fl_psy"
"b[(Intercept) Stock:L.Stuart]","-0.455534539535885","-0.112350877665968","-0.0186056443184332","0.0287970773629833","0.226906602035139","fl_psy"
"b[(Intercept) Stock:Nadina]","-0.23519196547981","-0.0254934464027714","0.0200299157635409","0.118246118163546","0.460819828082485","fl_psy"
"b[(Intercept) Stock:Pitt]","-0.343961913395291","-0.0630071548721155","0.0017393302777628","0.0718630566979618","0.351952703782932","fl_psy"
"b[(Intercept) Stock:Portage]","-0.447184534929972","-0.114040205172068","-0.0196750001432741","0.0245930282749415","0.219978383526532","fl_psy"
"b[(Intercept) Stock:Quesnel]","-0.493599770616133","-0.130359092727482","-0.0291068467328379","0.0158988033785795","0.214172474900137","fl_psy"
"b[(Intercept) Stock:Raft]","-0.401255459749194","-0.093595149882677","-0.00746213989558744","0.0416061834930706","0.270165367631948","fl_psy"
"b[(Intercept) Stock:Scotch]","-0.324878807783238","-0.0571388217327776","0.00119549911636298","0.0656059639094222","0.340476943521263","fl_psy"
"b[(Intercept) Stock:Seymour]","-0.434242046006712","-0.116776591536045","-0.0166410727018724","0.0271626192173561","0.240808094372858","fl_psy"
"b[(Intercept) Stock:Stellako]","-0.395716979373751","-0.0959733894884613","-0.0125596791688294","0.0347919918745253","0.254971862755676","fl_psy"
"b[(Intercept) Stock:Weaver]","-0.427517754362115","-0.106711199618392","-0.0155463048389025","0.0288277987590525","0.234109202388706","fl_psy"
"b[(Intercept) Stock:Birkenhead]","-0.627689352571101","-0.19243311407508","-0.0523213632988487","0.00331799949816384","0.142222964642615","ic_hof"
"b[(Intercept) Stock:Bowron]","-0.553722707211497","-0.169559423775425","-0.0387893543771727","0.00944174208114696","0.174347844770646","ic_hof"
"b[(Intercept) Stock:Chilko]","-0.195452527334877","-0.0104046505466015","0.0353007499056504","0.155666747516102","0.543174821254663","ic_hof"
"b[(Intercept) Stock:E.Stuart]","-0.34147869978493","-0.058348764320703","1.95906120588094e-05","0.0607286685990839","0.319539052582873","ic_hof"
"b[(Intercept) Stock:Fennell]","-0.584552566261537","-0.184127165644482","-0.0442656353537843","0.00615464578906862","0.158938814153233","ic_hof"
"b[(Intercept) Stock:Gates]","-0.137701919003297","-0.00301582014985153","0.0551636539423495","0.20175294007785","0.630282249201441","ic_hof"
"b[(Intercept) Stock:Harrison]","-0.149546915672041","-0.00253562878429542","0.0489595838079947","0.192645230044716","0.624796213970733","ic_hof"
"b[(Intercept) Stock:L.Shuswap]","-0.208300640608998","-0.0169655201738079","0.0244286530205692","0.129740699515557","0.480016354615398","ic_hof"
"b[(Intercept) Stock:L.Stuart]","-0.450991127963199","-0.108998356290793","-0.0151622023536191","0.0286532558062085","0.227656003373348","ic_hof"
"b[(Intercept) Stock:Nadina]","-0.213793301499107","-0.0226113424339824","0.022224845798105","0.126389979302706","0.4890369716054","ic_hof"
"b[(Intercept) Stock:Pitt]","-0.325305451038955","-0.0640310665382793","-0.000445037422134832","0.0597425894522191","0.32003161180654","ic_hof"
"b[(Intercept) Stock:Portage]","-0.430101047045711","-0.108059565653426","-0.0151234498278631","0.0267712167686146","0.235952525144455","ic_hof"
"b[(Intercept) Stock:Quesnel]","-0.453182468705505","-0.125129080969798","-0.0228779005772378","0.022065235216933","0.205636602380371","ic_hof"
"b[(Intercept) Stock:Raft]","-0.393463872679518","-0.0875532086039639","-0.00783015393971064","0.0387000037972346","0.274971961917904","ic_hof"
"b[(Intercept) Stock:Scotch]","-0.32578210669628","-0.0560114693985144","0.00113079288389757","0.0624281790874444","0.318041405743866","ic_hof"
"b[(Intercept) Stock:Seymour]","-0.437532797349798","-0.109428864212634","-0.0143316542627113","0.0295550412462533","0.250500532613659","ic_hof"
"b[(Intercept) Stock:Stellako]","-0.402926331477754","-0.0881031617825053","-0.00857488723584763","0.0370392611573394","0.271386591976782","ic_hof"
"b[(Intercept) Stock:Weaver]","-0.476445601760563","-0.109906954338808","-0.0162912113223508","0.0293283834561644","0.249955658595996","ic_hof"
"b[(Intercept) Stock:Birkenhead]","-0.782448363227213","-0.292398926111368","-0.112192085208716","-0.00467855799691672","0.151778332863449","ic_mul"
"b[(Intercept) Stock:Bowron]","-0.729025825549589","-0.275224457785517","-0.0981785914218811","-0.00351495417235368","0.150325976588126","ic_mul"
"b[(Intercept) Stock:Chilko]","-0.229224066061822","-0.0115398279640614","0.0646090745651161","0.210825248919874","0.579405869514079","ic_mul"
"b[(Intercept) Stock:E.Stuart]","-0.42447358681541","-0.0995667692374892","-0.00169811670451965","0.0845124617764461","0.361196329970285","ic_mul"
"b[(Intercept) Stock:Fennell]","-0.774650041131569","-0.291685088627157","-0.105170250033826","-0.00548852334808678","0.150426137374173","ic_mul"
"b[(Intercept) Stock:Gates]","-0.158197432098486","0.00370465219406944","0.107333238447917","0.275392128057322","0.673118054575175","ic_mul"
"b[(Intercept) Stock:Harrison]","-0.172564485697671","0.000190385714649289","0.0974434053558466","0.269030805028745","0.665374087565017","ic_mul"
"b[(Intercept) Stock:L.Shuswap]","-0.301745659620228","-0.0469647055988829","0.0274842946025423","0.152627520190156","0.496905659716881","ic_mul"
"b[(Intercept) Stock:L.Stuart]","-0.552684665059662","-0.164780658907678","-0.0295709551530092","0.0401672988411532","0.286878676845396","ic_mul"
"b[(Intercept) Stock:Nadina]","-0.269742819439202","-0.0265060920718795","0.0380227672325809","0.166643095349427","0.507774780653814","ic_mul"
"b[(Intercept) Stock:Pitt]","-0.418239968669151","-0.0962284094970248","0.000828055467178443","0.099456435242453","0.395183880227825","ic_mul"
"b[(Intercept) Stock:Portage]","-0.585893469470906","-0.205036320211031","-0.0537011687084955","0.0212384645004869","0.234961043697842","ic_mul"
"b[(Intercept) Stock:Quesnel]","-0.648819511573205","-0.207095028976335","-0.0557880579447856","0.0175592303774756","0.224759350698539","ic_mul"
"b[(Intercept) Stock:Raft]","-0.507670975589263","-0.143980139775814","-0.0244295485045218","0.0445952166421712","0.318451207622511","ic_mul"
"b[(Intercept) Stock:Scotch]","-0.446170815896594","-0.106481399619733","-0.00586691524481123","0.079388975681573","0.365969599230937","ic_mul"
"b[(Intercept) Stock:Seymour]","-0.57549203227586","-0.181255914622974","-0.045353521282202","0.025820400245574","0.256905945290368","ic_mul"
"b[(Intercept) Stock:Stellako]","-0.497408349069469","-0.145348022729561","-0.0269570187459449","0.0367168899665052","0.288891144274217","ic_mul"
"b[(Intercept) Stock:Weaver]","-0.611452505726251","-0.202636756541364","-0.0547801636971209","0.0195546792816828","0.239074309080573","ic_mul"
"b[(Intercept) Stock:Birkenhead]","-0.574973322852515","-0.170453425799686","-0.0376325785108642","0.00467816776370607","0.149705467148245","ku_thy"
"b[(Intercept) Stock:Bowron]","-0.543102003891427","-0.155831122024154","-0.034066555501474","0.00879897892483459","0.17184345489224","ku_thy"
"b[(Intercept) Stock:Chilko]","-0.195500911275876","-0.0138032368509666","0.0267063602852844","0.13969326047223","0.488981621476427","ku_thy"
"b[(Intercept) Stock:E.Stuart]","-0.341601425272415","-0.0636858800851117","-0.000587541604296845","0.0491415618513257","0.300664303978188","ku_thy"
"b[(Intercept) Stock:Fennell]","-0.58769902304414","-0.177681385663704","-0.0385704793691005","0.00600547467459645","0.149654259229788","ku_thy"
"b[(Intercept) Stock:Gates]","-0.123911803702498","-0.00183727292859","0.053226805976919","0.210989469605666","0.670796825159594","ku_thy"
"b[(Intercept) Stock:Harrison]","-0.130633762537912","-0.00212681920261869","0.0496596119128952","0.182796632716028","0.602949165472581","ku_thy"
"b[(Intercept) Stock:L.Shuswap]","-0.199363962188741","-0.0157034991148396","0.0233730493017706","0.120295488725585","0.445043093623287","ku_thy"
"b[(Intercept) Stock:L.Stuart]","-0.446561688825819","-0.108229671082491","-0.0130167473518241","0.0270755553180424","0.216585848980244","ku_thy"
"b[(Intercept) Stock:Nadina]","-0.208787994707571","-0.0167036054871305","0.0179991250481122","0.115591362663083","0.441966673443727","ku_thy"
"b[(Intercept) Stock:Pitt]","-0.322829677362899","-0.0585226432704647","0.000462962518102793","0.0582775606846452","0.310558942052226","ku_thy"
"b[(Intercept) Stock:Portage]","-0.432382811891672","-0.112975301524374","-0.0147036998333753","0.0247418870660044","0.217968052035072","ku_thy"
"b[(Intercept) Stock:Quesnel]","-0.469246899877202","-0.125507251097774","-0.0232278471805373","0.0173771896578012","0.191246826340317","ku_thy"
"b[(Intercept) Stock:Raft]","-0.413111170576148","-0.100404526627484","-0.0106638704062561","0.0291883948035649","0.24121475184989","ku_thy"
"b[(Intercept) Stock:Scotch]","-0.300917644251608","-0.0541126467060788","0.000561535083492895","0.0646444362545356","0.33567379108999","ku_thy"
"b[(Intercept) Stock:Seymour]","-0.452416209923026","-0.106328388842111","-0.0125891938922451","0.0261544918967986","0.244264768675062","ku_thy"
"b[(Intercept) Stock:Stellako]","-0.385850471253616","-0.0844202014660076","-0.00769796161866054","0.0338487851434545","0.27708507273704","ku_thy"
"b[(Intercept) Stock:Weaver]","-0.416916158931392","-0.0963253988968955","-0.0111843889810127","0.0287375865066039","0.243705698479298","ku_thy"
"b[(Intercept) Stock:Birkenhead]","-0.657736246452993","-0.231450542541042","-0.0733662319839172","-0.000363096785769496","0.136776768599203","lo_sal"
"b[(Intercept) Stock:Bowron]","-0.611036245174188","-0.199578190462453","-0.054966465627576","0.0052913381003834","0.169007296386345","lo_sal"
"b[(Intercept) Stock:Chilko]","-0.181839651924362","-0.00908744478502488","0.0436619654520831","0.173805068894377","0.56168104499893","lo_sal"
"b[(Intercept) Stock:E.Stuart]","-0.337175422347146","-0.0700872764002923","0.000648958783676565","0.0682807801660411","0.352323757622046","lo_sal"
"b[(Intercept) Stock:Fennell]","-0.595283409389919","-0.190713830822218","-0.0501980764622383","0.00703753991774537","0.178749927221887","lo_sal"
