stock_name	Stock.ID	BY	total_adult_spawner	total_effective_female_spawner	juv_type	juvenile_estimate	age.21	age.31 	age.32 	age.41	age.42	age.43	age.51	age.52	age.53	age.62 	age.63	recruits_no_jacks	total_recruits		Return
E.Stuart	1	1996	192333	57093.47			0	0	0	0	359206	0		104940	0	0	0	464146	464146		0.773907348
E.Stuart	1	1997	283587	80429.1152			0	0	1	0	109249	0		38121	201	0	0	147571	147572		0.740314832
E.Stuart	1	1998	66520	23688.9817			0	0	2	0	24341	0		4349	0	0	0	28690	28692		0.848414082
E.Stuart	1	1999	35532	12260.2908			0	0	0	0	25927	0		4639	0	0	0	30566	30566		0.84823006
E.Stuart	1	2000	180517	52688.8964			0	0	0	0	132457	0		3417	0	0	0	135874	135874		0.974851701
E.Stuart	1	2001	187471	88798.6042			0		5		216279			35722				252001	252006		0.858246594
E.Stuart	1	2002	44283	22083.4916			0				20266			4300			19	24585	24585		0.824323775
E.Stuart	1	2003	28627	15056.8406			0				8431			1588	12	0	0	10031	10031		0.840494467
E.Stuart	1	2004	20519	11515.8227			0				32387			5077.197703	0	0	0	37464.1977	37464.1977		0.864478675
E.Stuart	1	2005	127039	68293.9816					49	0	76119.30256	0		7851.548644	1021.145989	0	0	84991.99719	85040.99719		0.895605528
E.Stuart	1	2006	57769	28356.3256				0	0	0	96107.17826	0		12590.13252	0	0	0	108697.3108	108697.3108		0.884172548
E.Stuart	1	2007	9944	4304.1022				0	0	0	12528.30735	0		146.7138794	0	0	0	12675.02123	12675.02123		0.98842496
E.Stuart	1	2008	45031	16262.4699				0	1	0	183795.6054	0		9161.322066	130.7264972	0	0	193087.654	193088.654		0.951876527
E.Stuart	1	2009	57989	27947.8462				0	3	0	172827.0217	0		18102.6125	0	0	0	190929.6342	190932.6342		0.905189832
E.Stuart	1	2010	140563	66794.448				0	53	0	109757.8243	0		26470.22843	0	0	0	136228.0527	136281.0527		0.805686619
E.Stuart	1	2011	59305	27007.4202				0	7	0	2258.263048	0		235.0703433	0	0	0	2493.333391	2500.333391		0.905720453
E.Stuart	1	2012	57437	13721.4318				0	9	0	17601.17908	0		2129.394703	0	0	0	19730.57378	19739.57378		0.892076392
E.Stuart	1	2013	151146	67086.2209				0	4	0	20167.7627	0		5449.90359	0			25617.66629	25621.66629		0.740301132
E.Stuart	1	2014	109816	44240.6354				0	10	0	89230.78217	0		23000				112230.7822	112240.7822		
E.Stuart	1	2015	30458	13765.6384				0	0		3000			1428.571429				4428.571429	4428.571429		
E.Stuart	1	2016	17450	7208.697					0		14571.42857							14571.42857	14571.42857		
E.Stuart	1	2017	23738	10778.7296					1												
E.Stuart	1	2018	88375	45417.7342																	
E.Stuart	1	2019	10485	5275.2986																	
																					
																					
L.Stuart	2	1948					0	0	0	0	327	0		0	0	0	0	327	327		1
L.Stuart	2	1949	107752	39084.6079			0	0	3433	0	1526554	0		0	215	0	0	1526769	1530202		0.99985918
L.Stuart	2	1950	5843	1834.017			0	0	591	0	36671	0		2419	0	0	0	39090	39681		0.938117166
L.Stuart	2	1951	4402	1246.56			0	0	0	0	56085	0		7559	166	0	0	63810	63810		0.878937471
L.Stuart	2	1952	1975	15.773			0	0	86	0	3858	0		29	0	0	0	3887	3973		0.992539233
L.Stuart	2	1953	369023	78685.1792			0	0	830	0	1548072	0		1470	1867	0	0	1551409	1552239		0.997849052
L.Stuart	2	1954	5470	2686.816			0	0	150	0	135111	0		2704	0	0	0	137815	137965		0.980379494
L.Stuart	2	1955	7618	3272.4495			0	0	29	0	50196	0		1120	0	0	0	51316	51345		0.978174449
L.Stuart	2	1956	1454	466.2784			0	0	0	0	13472	0		32630	0	0	0	46102	46102		0.292221596
L.Stuart	2	1957	531130	300036.1174			0	0	874	0	1327094	0		1916	0	0	0	1329010	1329884		0.998558325
L.Stuart	2	1958	23638	13152			0	0	672	0	53044	0		961	0	0	0	54005	54677		0.982205351
L.Stuart	2	1959	8225	4116.6268			0	0	67	0	6092	0		1233	0	0	0	7325	7392		0.831672355
L.Stuart	2	1960	2961	1306.802			0	0	27	0	6658	0		2932	0	0	0	9590	9617		0.694264859
L.Stuart	2	1961	411105	194459.6937			0	0	143	0	770385	0		7535	415	0	0	778335	778478		0.989785889
L.Stuart	2	1962	18689	9072.6638			0	0	45	0	43107	0		1917	0	0	0	45024	45069		0.957422708
L.Stuart	2	1963	3237	1091.938			0	0	25	0	11911	0		113	0	0	0	12024	12049		0.990602129
L.Stuart	2	1964	1900	824			0	0	60	0	1806	0		1235	0	0	0	3041	3101		0.593883591
L.Stuart	2	1965	214958	122785.0208			0	0	228	0	1102448	0		21752	91	0	0	1124291	1124519		0.980571756
L.Stuart	2	1966	9032	4163.4			0	0	274	0	71954	0		1851	0	0	0	73805	74079		0.974920398
L.Stuart	2	1967	1642	895.9			0	0	224	0	6294	0		10038	0	0	0	16332	16556		0.385378398
L.Stuart	2	1968	470	178.7349			0	0	0	0	27393	0		3906	0	0	0	31299	31299		0.875203681
