"","lower","25","mid","75","upper"
"arena2",-0.519974721368875,-0.035584166354904,0.195964350756894,0.423969897807619,0.95751409364492
"c_b_cys",-0.830780426868341,-0.341048086689072,-0.144855549166263,0.0469843497172604,0.405858186542557
"ce_sha",-0.483983101293938,-0.110328030018096,0.0635018862650098,0.269408155479771,0.762795487107662
"de_sal",-0.0806350729619366,0.306389105222847,0.572186689001451,0.908221445793313,1.758537512073
"fa_mar",-0.370284324821044,0.0413461177967164,0.236210351602208,0.467948156455834,1.13795150470582
"fl_psy",-0.531512493965475,-0.18777155970511,0.0104397321393766,0.262680108715565,1.02781847356427
"ic_hof",-0.444701918904099,-0.108099620447855,0.0472886215063335,0.218831578475315,0.596315001453142
"ic_mul",-0.888594352572807,-0.563267394571438,-0.409635749623139,-0.230517436557911,0.216163329658021
"lo_sal",-0.387284863953601,-0.107106865767183,0.0437521260762028,0.203117707741442,0.564371330833624
"my_arc",-0.451067115645997,-0.0735351241986116,0.113727160109656,0.296450791964845,0.659219157875385
"pa_kab",-0.561733055416174,-0.286574500931115,-0.134880115744318,0.0236789207350209,0.373481987799441
"pa_min",-0.826724758019544,-0.470277304694154,-0.300688841110246,-0.106085544882591,0.32846572107643
"pa_pse",-0.261318229807853,0.129982270426236,0.292454251445172,0.462103285182232,0.810128418560985
"pa_ther",-1.1838698813405,-0.785898519545448,-0.61358148311508,-0.450393706009645,-0.1243152484778
"pspv",-0.0416487937623032,0.32182549322277,0.493009088538288,0.662256672081425,0.988736945794054
"rlo",-0.629378687756311,-0.118118716108244,0.151346814930074,0.466550947882343,1.24667294721877
"sch",-0.593954499629055,-0.303774527595423,-0.165000692768663,-0.0177721742923939,0.286108537378306
"sp_des",-0.600595652044571,-0.000701159366911826,0.350434151036485,0.921958923977407,2.33264641705642
"te_bry",-0.877608546458606,-0.551568682153492,-0.400715531266369,-0.239492219119241,0.178926496654944
"te_mar",-0.906250003637632,-0.604868715429612,-0.462876373935956,-0.314513292271396,0.0487915509626718
"ven",-0.739959639301354,-0.395036205846826,-0.222069942914338,-0.0423749516254567,0.342866207575778
