"","V1","V2","V3"
"b[(Intercept) Stock:Quesnel]","0.999678983205852","c_b_cys","Rhat"
"b[load_std Stock:Quesnel]","0.99952563847994","c_b_cys","Rhat"
"b[(Intercept) Stock:Raft]","0.999896698964518","c_b_cys","Rhat"
"b[load_std Stock:Raft]","0.999663100399469","c_b_cys","Rhat"
"b[(Intercept) Stock:Scotch]","0.999312367410298","c_b_cys","Rhat"
"b[load_std Stock:Scotch]","1.0004069506215","c_b_cys","Rhat"
"b[(Intercept) Stock:Seymour]","0.999806141898006","c_b_cys","Rhat"
"b[load_std Stock:Seymour]","0.999304579554069","c_b_cys","Rhat"
"b[(Intercept) Stock:Stellako]","0.999864443257073","c_b_cys","Rhat"
"b[load_std Stock:Stellako]","0.999711840257712","c_b_cys","Rhat"
"b[(Intercept) Stock:Weaver]","0.999977947158391","c_b_cys","Rhat"
"b[load_std Stock:Weaver]","1.00144453009208","c_b_cys","Rhat"
"b[(Intercept) Year:2009]","1.00138620002928","c_b_cys","Rhat"
"b[(Intercept) Year:2010]","1.00137680887727","c_b_cys","Rhat"
"b[(Intercept) Year:2011]","0.999813345327796","c_b_cys","Rhat"
"b[(Intercept) Year:2012]","1.00028289442779","c_b_cys","Rhat"
"b[(Intercept) Year:2013]","1.00146937740674","c_b_cys","Rhat"
"b[(Intercept) Year:2014]","1.00253238942102","c_b_cys","Rhat"
"b[(Intercept) Year:2015]","0.999836339935525","c_b_cys","Rhat"
"b[(Intercept) Year:2016]","1.00120002315582","c_b_cys","Rhat"
"sigma","1.00038498046443","c_b_cys","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00057640243183","c_b_cys","Rhat"
"Sigma[Stock:load_std,(Intercept)]","0.999708107032008","c_b_cys","Rhat"
"Sigma[Stock:load_std,load_std]","0.999797662632033","c_b_cys","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00041118599797","c_b_cys","Rhat"
"mean_PPD","0.999429766790136","c_b_cys","Rhat"
"log-posterior","1.00122489070138","c_b_cys","Rhat"
"load_std","1.00097296603433","ce_sha","Rhat"
"b[(Intercept) Stock:Birkenhead]","0.999887126617597","ce_sha","Rhat"
"b[load_std Stock:Birkenhead]","0.999972905156805","ce_sha","Rhat"
"b[(Intercept) Stock:Bowron]","1.00073548399177","ce_sha","Rhat"
"b[load_std Stock:Bowron]","1.00029726902377","ce_sha","Rhat"
"b[(Intercept) Stock:Chilko]","0.999201315628302","ce_sha","Rhat"
"b[load_std Stock:Chilko]","1.00026863197834","ce_sha","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.999401723317164","ce_sha","Rhat"
"b[load_std Stock:E.Stuart]","0.999897178845609","ce_sha","Rhat"
"b[(Intercept) Stock:Fennell]","1.0000236931522","ce_sha","Rhat"
"b[load_std Stock:Fennell]","1.00072667395448","ce_sha","Rhat"
"b[(Intercept) Stock:Gates]","1.0002755011156","ce_sha","Rhat"
"b[load_std Stock:Gates]","1.00126030001238","ce_sha","Rhat"
"b[(Intercept) Stock:Harrison]","1.00060514248225","ce_sha","Rhat"
"b[load_std Stock:Harrison]","1.00044769708335","ce_sha","Rhat"
"b[(Intercept) Stock:L.Shuswap]","0.999127447568397","ce_sha","Rhat"
"b[load_std Stock:L.Shuswap]","1.00109536873694","ce_sha","Rhat"
"b[(Intercept) Stock:L.Stuart]","1.00026737196784","ce_sha","Rhat"
"b[load_std Stock:L.Stuart]","1.00076813768926","ce_sha","Rhat"
"b[(Intercept) Stock:Nadina]","0.999517154052261","ce_sha","Rhat"
"b[load_std Stock:Nadina]","1.00063012353942","ce_sha","Rhat"
"b[(Intercept) Stock:Pitt]","0.999197690253181","ce_sha","Rhat"
"b[load_std Stock:Pitt]","1.00072756282234","ce_sha","Rhat"
"b[(Intercept) Stock:Portage]","1.00009133553224","ce_sha","Rhat"
"b[load_std Stock:Portage]","0.999442411179202","ce_sha","Rhat"
"b[(Intercept) Stock:Quesnel]","1.00090850732177","ce_sha","Rhat"
"b[load_std Stock:Quesnel]","1.00046960636079","ce_sha","Rhat"
"b[(Intercept) Stock:Raft]","0.999402499439397","ce_sha","Rhat"
"b[load_std Stock:Raft]","0.999512682379635","ce_sha","Rhat"
"b[(Intercept) Stock:Scotch]","0.999198219160404","ce_sha","Rhat"
"b[load_std Stock:Scotch]","0.999516299828625","ce_sha","Rhat"
"b[(Intercept) Stock:Seymour]","1.00063781371047","ce_sha","Rhat"
"b[load_std Stock:Seymour]","0.999159185908671","ce_sha","Rhat"
"b[(Intercept) Stock:Stellako]","0.999518192846847","ce_sha","Rhat"
"b[load_std Stock:Stellako]","1.00144408147122","ce_sha","Rhat"
"b[(Intercept) Stock:Weaver]","0.999096825066336","ce_sha","Rhat"
"b[load_std Stock:Weaver]","1.00109412508238","ce_sha","Rhat"
"b[(Intercept) Year:2009]","1.00074504154031","ce_sha","Rhat"
"b[(Intercept) Year:2010]","1.00023881985528","ce_sha","Rhat"
"b[(Intercept) Year:2011]","0.999714188401537","ce_sha","Rhat"
"b[(Intercept) Year:2012]","1.00030075399665","ce_sha","Rhat"
"b[(Intercept) Year:2013]","1.00034153107","ce_sha","Rhat"
"b[(Intercept) Year:2014]","1.00000508871224","ce_sha","Rhat"
"b[(Intercept) Year:2015]","1.0021679543664","ce_sha","Rhat"
"b[(Intercept) Year:2016]","0.999992084421063","ce_sha","Rhat"
"sigma","0.999921917836629","ce_sha","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00091223751718","ce_sha","Rhat"
"Sigma[Stock:load_std,(Intercept)]","0.999561720262867","ce_sha","Rhat"
"Sigma[Stock:load_std,load_std]","1.00255105744032","ce_sha","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00238404460765","ce_sha","Rhat"
"mean_PPD","0.999556107923299","ce_sha","Rhat"
"log-posterior","1.00293131899329","ce_sha","Rhat"
"load_std","1.00066479305348","de_sal","Rhat"
"b[(Intercept) Stock:Birkenhead]","1.00200459128853","de_sal","Rhat"
"b[load_std Stock:Birkenhead]","1.00227303048806","de_sal","Rhat"
"b[(Intercept) Stock:Bowron]","1.00099295611251","de_sal","Rhat"
"b[load_std Stock:Bowron]","1.0001326611452","de_sal","Rhat"
"b[(Intercept) Stock:Chilko]","1.00073673956857","de_sal","Rhat"
"b[load_std Stock:Chilko]","1.00030695498965","de_sal","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.999149326662393","de_sal","Rhat"
"b[load_std Stock:E.Stuart]","0.999616771163722","de_sal","Rhat"
"b[(Intercept) Stock:Fennell]","1.00442507777912","de_sal","Rhat"
"b[load_std Stock:Fennell]","1.0010163415212","de_sal","Rhat"
"b[(Intercept) Stock:Gates]","1.00227111094072","de_sal","Rhat"
"b[load_std Stock:Gates]","1.00174928112177","de_sal","Rhat"
"b[(Intercept) Stock:Harrison]","1.00093881156382","de_sal","Rhat"
"b[load_std Stock:Harrison]","0.999570507966658","de_sal","Rhat"
"b[(Intercept) Stock:L.Shuswap]","1.00068632468063","de_sal","Rhat"
"b[load_std Stock:L.Shuswap]","0.999922369882931","de_sal","Rhat"
"b[(Intercept) Stock:L.Stuart]","1.00078403986119","de_sal","Rhat"
"b[load_std Stock:L.Stuart]","1.00078672848185","de_sal","Rhat"
"b[(Intercept) Stock:Nadina]","1.00032917651885","de_sal","Rhat"
"b[load_std Stock:Nadina]","1.00104548142302","de_sal","Rhat"
"b[(Intercept) Stock:Pitt]","0.999517918420258","de_sal","Rhat"
"b[load_std Stock:Pitt]","1.00381085777919","de_sal","Rhat"
"b[(Intercept) Stock:Portage]","1.00089144745614","de_sal","Rhat"
"b[load_std Stock:Portage]","1.00232984378863","de_sal","Rhat"
"b[(Intercept) Stock:Quesnel]","1.00166590314854","de_sal","Rhat"
"b[load_std Stock:Quesnel]","1.00017436440484","de_sal","Rhat"
"b[(Intercept) Stock:Raft]","0.999643284643244","de_sal","Rhat"
"b[load_std Stock:Raft]","1.00060280271762","de_sal","Rhat"
"b[(Intercept) Stock:Scotch]","0.999219265432246","de_sal","Rhat"
"b[load_std Stock:Scotch]","0.999994601642962","de_sal","Rhat"
"b[(Intercept) Stock:Seymour]","1.00087651106013","de_sal","Rhat"
"b[load_std Stock:Seymour]","1.00150821097308","de_sal","Rhat"
"b[(Intercept) Stock:Stellako]","1.00048899915956","de_sal","Rhat"
"b[load_std Stock:Stellako]","1.00198074744933","de_sal","Rhat"
"b[(Intercept) Stock:Weaver]","1.00032978664208","de_sal","Rhat"
"b[load_std Stock:Weaver]","1.00032350120391","de_sal","Rhat"
"b[(Intercept) Year:2009]","1.00044890075816","de_sal","Rhat"
"b[(Intercept) Year:2010]","0.999691753377798","de_sal","Rhat"
"b[(Intercept) Year:2011]","1.00036829534513","de_sal","Rhat"
"b[(Intercept) Year:2012]","1.0001185959889","de_sal","Rhat"
"b[(Intercept) Year:2013]","0.999773293376551","de_sal","Rhat"
"b[(Intercept) Year:2014]","0.999646450408858","de_sal","Rhat"
"b[(Intercept) Year:2015]","1.00098548396221","de_sal","Rhat"
"b[(Intercept) Year:2016]","1.00124041791462","de_sal","Rhat"
"sigma","1.00121446004414","de_sal","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00411201478319","de_sal","Rhat"
