"BY","Stock.ID","stock_name","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits","X","Return","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2","early_sst","np_pinks","early_sst_stnd","np_pinks_stnd"
1950,1,"E.Stuart","59104","25658","",NA,0,0,579,0,240545,0,0,542,0,0,0,241087,241666,NA,"1",25658,NA,NA,NA,2.2403024503708,0,1,0,-0.634422090070314,179.7949782,-1.08590483173362,-1.04918020099449
1951,1,"E.Stuart","60423","29787","",NA,0,0,9,0,158428,0,0,15217,0,0,0,173645,173654,NA,"0.91",29787,25658,NA,NA,1.76294092850573,0,1,0,-0.0905815455059216,294.413004,-0.271409016409671,-0.22778672436168
1952,1,"E.Stuart","29925","15483","",NA,0,0,28,0,78012,0,0,10560,0,0,0,88572,88600,NA,"0.88",15483,29787,25658,NA,1.74407313274122,0,1,0,-0.642065857835898,260.8135208,-1.09735270357878,-0.468572552996268
1953,1,"E.Stuart","154036","78332","",NA,0,0,294,0,537711,0,0,2886,0,0,0,540597,540891,NA,"0.99",78332,15483,29787,25658,1.93171788038279,0,1,0,-0.973261825373918,362.0339953,-1.59337627576014,0.256809313212578
1954,1,"E.Stuart","35050","18010","",NA,0,0,341,0,154781,0,0,701,0,0,0,155482,155823,NA,"1",18010,78332,15483,29787,2.15560281010421,0,1,0,0.00693458248915148,187.0299165,-0.125361652026051,-0.997332063827736
1955,1,"E.Stuart","2159","1397","",NA,0,0,11,0,25824,0,0,1632,0,0,0,27456,27467,NA,"0.94",1397,18010,78332,15483,2.97825764303073,0,1,0,0.483746400203301,240.0020938,0.588746985343479,-0.617714629540566
1956,1,"E.Stuart","25020","16662","",NA,0,0,0,0,101035,0,0,6393,2966,0,0,110394,110394,NA,"0.92",16662,1397,18010,78332,1.89092510698729,0,0.973132597786112,0.0268674022138884,1.33239699780778,125.0629748,1.8597488761177,-1.44140917407286
1957,1,"E.Stuart","234850","119278","",NA,0,0,730,0,1215763,23,0,3272,3148,0,0,1222183,1222936,NA,"0.99",119278,16662,1397,18010,2.32693697997465,0,0.997407059731662,0.00259294026833784,0.097839360482682,182.1236784,0.0107840657008048,-1.03249190838115
1958,1,"E.Stuart","38807","22196","",NA,0,0,755,0,102112,0,0,240,0,0,0,102352,103107,NA,"1",22196,119278,16662,1397,1.52850576024413,0,1,0,-0.0312903871022449,162.859114,-0.1826101931366,-1.17054861820395
1959,1,"E.Stuart","2670","1297","",NA,0,0,0,0,14682,0,0,6153,0,0,0,20835,20835,NA,"0.7",1297,22196,119278,16662,2.77658035954011,0,1,0,0.441754791719849,224.2375817,0.525857247293719,-0.730688721624771
1960,1,"E.Stuart","14447","7401","",NA,0,0,22,0,69925,0,0,4202,0,0,0,74127,74149,NA,"0.94",7401,1297,22196,119278,2.30416471218882,0,1,0,-0.0517373006852008,146.2015324,-0.213233002921676,-1.28992276347664
1961,1,"E.Stuart","198921","87809","",NA,0,0,630,0,252123,0,0,2208,881,0,0,255212,255842,NA,"0.99",87809,7401,1297,22196,1.06693057122623,0,0.996556468445369,0.00344353155463137,0.722002029087697,205.1036429,0.945576233628295,-0.867809322009527
1962,1,"E.Stuart","26716","14075","",NA,0,0,0,0,67661,0,0,5992,2132,0,0,75785,75785,NA,"0.89",14075,87809,7401,1297,1.68350020985787,0,0.971867783862242,0.0281322161377581,-0.588415482557359,161.1151013,-1.01700193423714,-1.18304683255502
1963,1,"E.Stuart","4607","2590","",NA,0,0,332,0,90397,0,0,1825,0,0,0,92222,92554,NA,"0.98",2590,14075,87809,7401,3.57254083810152,0,1,0,-0.95382141285256,175.2447665,-1.5642608763934,-1.08178863393156
1964,1,"E.Stuart","2390","1300","",NA,0,0,1027,0,25940,0,0,12949,2971,0,0,41860,42887,NA,"0.62",1300,2590,14075,87809,3.47196645255036,0,0.930724928299951,0.069275071700049,-0.149255400100596,172.0482063,-0.359283319850152,-1.10469631950385
1965,1,"E.Stuart","23045","11242","",NA,0,0,432,0,415253,0,0,1526,0,0,0,416779,417211,NA,"1",11242,1300,2590,14075,3.6128993407128,0,1,0,-0.126586735946503,220.7792867,-0.325333052116286,-0.755472091722495
1966,1,"E.Stuart","10830","5959","",NA,0,0,1746,0,83040,0,0,0,0,0,0,83040,84786,NA,"1",5959,11242,1300,2590,2.63441973765274,0,1,0,-0.323645532829145,132.2029342,-0.620462878382265,-1.39024168943291
1967,1,"E.Stuart","21044","11167","",NA,0,0,423,0,326142,0,0,13128,0,0,0,339270,339693,NA,"0.96",11167,5959,11242,1300,3.41383325008769,0,1,0,-0.4750702302964,202.78803,-0.847247702824811,-0.884403826383435
1968,1,"E.Stuart","1522","793","",NA,0,0,11,0,10412,0,0,0,0,0,0,10412,10423,NA,"1",793,11167,5959,11242,2.57489104447961,0,1,0,-0.521399149570872,126.2276425,-0.916633318249574,-1.43306275173181
1969,1,"E.Stuart","109655","48687","",NA,0,0,648,0,1366181,76,0,4452,4237,0,0,1374870,1375594,NA,"0.99",48687,793,11167,5959,3.34070240617457,0,0.996864627208319,0.00313537279168127,-1.13020508833739,158.6269034,-1.82842611197533,-1.20087814232821
1970,1,"E.Stuart","32578","15806","",NA,0,0,1212,0,178232,0,0,1312,1380,0,0,180924,182136,NA,"0.99",15806,48687,793,11167,2.437687438802,0,0.992423244169192,0.00757675583080775,-0.485094371597235,133.9360774,-0.862260598099631,-1.37782136977888
1971,1,"E.Stuart","95940","45612","",NA,0,0,311,0,423510,0,0,6993,396,0,0,430899,431210,NA,"0.98",45612,15806,48687,793,2.24570288409992,0,0.999081653950511,0.000918346049488648,-0.272222728642217,228.2673373,-0.543448284231282,-0.701810061927384
1972,1,"E.Stuart","4657","2253","",NA,0,0,25,0,32207,0,0,0,0,0,0,32207,32232,NA,"1",2253,45612,15806,48687,2.65992115877854,0,1,0,-0.467030653629713,199.0080226,-0.83520703830018,-0.911492701787741
1973,1,"E.Stuart","299892","153870","",NA,0,0,4591,0,1342456,67,0,3951,1017,0,0,1347424,1352082,NA,"1",153870,2253,45612,15806,2.16984181038117,0,0.999198273477496,0.000801726522503813,-0.620859010369085,279.1204321,-1.06559176061384,-0.337378725374824
1974,1,"E.Stuart","39518","21603","",NA,0,0,1242,0,141307,0,0,2218,477,0,0,144002,145244,NA,"0.98",21603,153870,2253,45612,1.8969949944336,0,0.996715871223596,0.00328412877640384,-0.735717225395974,234.0968415,-1.23761191694461,-0.660033764626305
1975,1,"E.Stuart","65752","26248","",NA,0,0,150,0,220007,0,0,2852,76,0,0,222935,223085,NA,"0.99",26248,21603,153870,2253,2.13929045349219,0,0.999659322679696,0.00034067732030392,-0.227247171577681,319.9023766,-0.476089564130209,-0.0451208283913871
1976,1,"E.Stuart","11761","6792","",NA,0,0,43,0,28800,0,0,3034,0,0,0,31834,31877,NA,"0.9",6792,26248,21603,153870,1.54478945199862,0,1,0,0.428149265204432,244.4852059,0.505480604686165,-0.585587056165859
1977,1,"E.Stuart","117445","53381","",NA,0,0,572,0,752467,0,0,8655,0,0,0,761122,761694,NA,"0.99",53381,6792,26248,21603,2.65733878297806,0,1,0,0.0114386159865527,297.883815,-0.118616078397203,-0.202913660163208
1978,1,"E.Stuart","50004","20005","",NA,0,0,202,0,71470,0,0,1180,0,0,0,72650,72852,NA,"0.98",20005,53381,6792,26248,1.28967114770709,0,1,0,0.167214980449272,223.2043036,0.114686124333732,-0.738093559432469
1979,1,"E.Stuart","92746","36172","",NA,0,0,34,0,89807,0,0,17889,206,0,0,107902,107936,NA,"0.83",36172,20005,53381,6792,1.09293806889526,0,0.998091461606878,0.00190853839312185,-0.0420423379527537,431.0079915,-0.198713109812889,0.751101464386378
1980,1,"E.Stuart","16939","7361","",NA,0,0,10,0,37950,0,0,25541,0,0,0,63491,63501,NA,"0.6",7361,36172,20005,53381,2.15470237049364,0,1,0,-0.548073692679124,308.7731516,-0.956583086530922,-0.124876807009707
1981,1,"E.Stuart","129457","67227","",NA,0,0,46,0,331290,0,0,18805,0,0,0,350095,350141,NA,"0.95",67227,7361,36172,20005,1.65012959367569,0,1,0,0.986431776779315,326.2901376,1.34160577775598,0.000656135389552768
1982,1,"E.Stuart","4557","2158","",NA,0,0,13,0,26796,0,0,1007,0,0,0,27803,27816,NA,"0.96",2158,67227,7361,36172,2.55596206170745,0,1,0,-0.436006367904523,261.7616152,-0.788742773822029,-0.461778171833649
1983,1,"E.Stuart","23867","13121","",NA,0,0,423,0,176760,4,0,10949,760,0,0,188469,188896,NA,"0.94",13121,2158,67227,7361,2.66471953700666,0,0.995955446383195,0.00404455361680501,-0.157619006924173,270.3310462,-0.371809275899043,-0.400366586066701
1984,1,"E.Stuart","45201","21868","",NA,0,0,240,0,209867,12,0,29536,2385,0,0,241788,242040,NA,"0.87",21868,13121,2158,67227,2.40303692812488,0,0.990096678235002,0.00990332176499752,-0.0201058126820948,212.1579015,-0.165859347410876,-0.817255999736889
1985,1,"E.Stuart","234219","116610","",NA,0,0,2414,0,1179879,0,0,26057,527,0,0,1206463,1208877,NA,"0.98",116610,21868,13121,2158,2.33661318384337,0,0.999564058212705,0.000435941787295151,0.173742736423175,364.3859048,0.124462574393112,0.273663931911923
1986,1,"E.Stuart","28584","15219","",NA,0,0,56,0,128280,0,0,17603,3,0,0,145886,145942,NA,"0.88",15219,116610,21868,13121,2.26028084753765,0,0.999979443888668,2.0556111331899e-05,0.0190277063766811,303.0355966,-0.107250095432792,-0.165994163690107
1987,1,"E.Stuart","148194","75970","",NA,0,0,8,0,494847,0,0,31065,0,0,0,525912,525920,NA,"0.94",75970,15219,116610,21868,1.93479537284608,0,1,0,0.551989801594467,486.0193237,0.690953349712835,1.14533220684225
1988,1,"E.Stuart","179807","88069","",NA,0,0,33,0,319342,0,0,59894,0,0,663,379899,379932,NA,"0.84",88069,75970,15219,116610,1.46178482976985,0,0.998254950885948,0.00174504911405199,0.481430581093145,277.2341688,0.585278643394498,-0.350896358042266
1989,1,"E.Stuart","384799","211039","",NA,0,0,420,0,1091749,0,0,45932,688,0,0,1138369,1138789,NA,"0.96",211039,88069,75970,15219,1.68530886468361,0,0.999395849450601,0.000604150549399406,-0.147133142336359,398.5924679,-0.356104869686246,0.518800310699286
1990,1,"E.Stuart","97035","47063","fry leaving ",27908219,0,0,2,0,156963,0,0,9121,0,0,0,166084,166086,NA,"0.95",47063,211039,88069,75970,1.26100655479225,0,1,0,1.20884967631982,453.748659,1.67471527141095,0.914069163475606
1991,1,"E.Stuart","141119","85454","stream for lake",56034423,0,0,514,0,129192,0,0,14581,172,0,0,143945,144459,NA,"0.9",85454,47063,211039,88069,0.521453062705614,0,0.99880935075004,0.0011906492499602,0.990358537212832,434.867605,1.34748678455632,0.778760825373417
1992,1,"E.Stuart","66098","36564","brood year ",14209159,0,0,10,0,80797,0,0,19569,0,0,0,100366,100376,NA,"0.81",36564,85454,47063,211039,1.00975935469442,0,1,0,0.639499638063847,424.2513281,0.822014551964838,0.702680815000497
1993,1,"E.Stuart","688013","386816","t+1",498394567,0,0,847,0,1652166,0,0,161770,0,0,0,1813936,1814783,NA,"0.91",386816,36564,85454,47063,1.54530522113589,0,1,0,1.07509927168943,401.9695761,1.47440077489507,0.543001867356731
1994,1,"E.Stuart","29125","14498","",12509636,0,0,6,0,27990,0,0,1034,0,0,0,29024,29030,NA,"0.96",14498,386816,36564,85454,0.69411236505404,0,1,0,0.119495672141086,443.5715796,0.0432181594759387,0.841136598357789
1995,1,"E.Stuart","122856","57322","",44420729,0,0,20,0,170595,0,0,18985,0,0,0,189580,189600,NA,"0.9",57322,14498,386816,36564,1.19612660483832,0,1,0,1.07828784770654,501.0739726,1.47917622212631,1.25321916714494
1996,1,"E.Stuart","87570","41063","",30930914,0,0,0,0,359206,0,0,104940,0,0,0,464146,464146,NA,"0.77",41063,57322,14498,386816,2.4250916851743,0,1,0,1.11279740434061,381.8192568,1.53086028604554,0.398597523366641
1997,1,"E.Stuart","266941","73417","",30074781,0,0,1,0,109249,0,0,38121,201,0,0,147571,147572,NA,"0.74",73417,41063,57322,14498,0.698153899464484,0,0.998637952999214,0.00136204700078606,-0.611778850023907,401.8196412,-1.05199264102348,0.541927380617668
1998,1,"E.Stuart","32570","9375","",5505462,0,0,2,0,24341,0,0,4349,0,0,0,28690,28692,NA,"0.85",9375,73417,41063,57322,1.1185020581368,0,1,0,0.451975591847156,382.8857158,0.541164673369541,0.406240147287113
1999,1,"E.Stuart","24552","8189","",6104258,0,0,0,0,25927,0,0,4639,0,0,0,30566,30566,NA,"0.85",8189,9375,73417,41063,1.31709648981759,0,1,0,-0.320505543112472,466.3283391,-0.615760197587403,1.00421961843369
2000,1,"E.Stuart","89858","35334","",35070706,0,0,0,0,132457,0,0,3417,0,0,0,135874,135874,NA,"0.97",35334,8189,9375,73417,1.34688231251819,0,1,0,-0.303752993532308,361.2705607,-0.59067034052281,0.251338269754108
2001,1,"E.Stuart","170981","82849","",51804034,0,0,5,0,216279,0,0,35722,0,0,0,252001,252006,NA,"0.86",82849,35334,8189,9375,1.11241338196382,0,1,0,0.793450806124152,594.4661709,1.05258320559435,1.92250082608639
2002,1,"E.Stuart","24637","12939","",11603591,0,0,0,0,20266,0,0,4300,0,0,19,24585,24585,NA,"0.82",12939,82849,35334,8189,0.641890494530087,0,0.999227171039252,0.000772828960748424,1.29817776835081,344.0283572,1.80849962764792,0.12777451633204
2003,1,"E.Stuart","13166","6932","",6457973,0,0,0,0,8431,0,0,1588,12,0,0,10031,10031,NA,"0.84",6932,12939,82849,35334,0.369531926047989,0,0.998803708503639,0.00119629149636128,1.11511633756371,548.7740497,1.53433329192036,1.59505485914324
2004,1,"E.Stuart","9281","5253","",5855048,0,0,0,0,32387,0,0,5077,0,0,0,37464,37464,NA,"0.86",5253,6932,12939,82849,1.96458112990942,0,1,0,0.190119614924984,328.1716624,0.148989798670729,0.0141398102832349
2005,1,"E.Stuart","98537","51183","",31630751,0,0,49,0,76119,0,0,7852,1021,0,0,84992,85041,NA,"0.9",51183,5253,6932,12939,0.507149688753032,0,0.98799402641079,0.0120059735892099,-0.0437000307099539,657.1627969,-0.201195793068721,2.37180711315461
2006,1,"E.Stuart","35816","15914","",12292381,0,0,0,0,96107,0,0,12590,0,0,0,108697,108697,NA,"0.88",15914,51183,5253,6932,1.92136496989492,0,1,0,-1.22398825272464,407.2142707,-1.96888271401561,0.58058721138358
2007,1,"E.Stuart","5347","2376","",1170443,0,0,0,0,12528,0,0,147,0,0,0,12675,12675,NA,"0.99",2376,15914,51183,5253,1.67421314797685,0,1,0,-0.606579568402831,653.762543,-1.04420581239258,2.34743968619134
2008,1,"E.Stuart","29867","14446","",NA,0,0,1,0,183796,0,0,9161,131,0,0,193088,193089,NA,"0.95",14446,2376,15914,51183,2.59272848390794,0,0.999321556380736,0.000678443619263656,0.0507731870067021,435.5747755,-0.0597057161344253,0.783828660310486
2009,1,"E.Stuart","45297","21677","",NA,0,0,3,0,172827,0,0,18102,0,0,0,190929,190932,NA,"0.91",21677,14446,2376,15914,2.17564984057727,0,1,0,0.0112421931371777,577.8224288,-0.118910255781454,1.80322585958545
2010,1,"E.Stuart","75046","42573","",NA,0,0,53,0,109754,0,0,26470,0,0,0,136224,136277,NA,"0.81",42573,21677,14446,2376,1.16308034012523,0,1,0,-0.0692516316853746,355.8470816,-0.239463760172897,0.212471692509376
2011,1,"E.Stuart","757","233","",NA,0,0,7,0,2258,0,0,235,0,0,0,2493,2500,NA,"0.91",233,42573,21677,14446,2.37020362995786,0,1,0,0.362810721721245,549.4208599,0.407624770327503,1.59969013073505
2012,1,"E.Stuart","","6812","",NA,0,0,9,0,17601,0,0,2129,0,0,0,19731,19740,NA,"0.89",6812,233,42573,21677,1.06350524018688,0,0.999949341438703,0,0.510164478918148,381.53067615,0.628312653584299,0.396529451946478
2013,1,"E.Stuart","","39658","",NA,0,0,4,0,20168,0,0,7075,0,0,0,27243,27247,NA,"0.74",39658,6812,233,42573,-0.375496085800813,0,1,0,1.48932113747965,615.7924859,2.09477007187724,2.07533277288839
2014,1,"E.Stuart","","23298","",NA,0,0,10,0,115836,0,0,0,0,0,0,115836,115846,NA,"",23298,39658,6812,233,1.60380787767689,0,1,0,1.52035005533724,381.53067615,2.14124127377941,0.396529451946478
1950,2,"L.Stuart","5843","1834","",NA,0,0,591,0,36671,0,0,2419,0,0,0,39090,39681,NA,"0.94",1834,23298,39658,6812,3.05936730597059,0,1,0,-0.634422090070314,179.7949782,-1.08553029893695,-1.04918020099449
1951,2,"L.Stuart","4364","1247","",NA,0,0,0,0,56085,0,0,7559,166,0,0,63810,63810,NA,"0.88",1247,1834,23298,39658,3.93516925118236,0,0.997398526876665,0.0026014731233349,-0.0920162171223888,294.413004,-0.27442610341543,-0.22778672436168
1952,2,"L.Stuart","35","16","",NA,0,0,86,0,3858,0,0,29,0,0,0,3887,3973,NA,"0.99",16,1247,1834,23298,5.49280420861244,0,1,0,-0.642065857835898,260.8135208,-1.09696065471566,-0.468572552996268
1953,2,"L.Stuart","368634","78689","",NA,0,0,830,0,1548072,0,0,1470,1867,0,0,1551409,1552239,NA,"1",78689,16,1247,1834,2.98141545488067,0,0.998797221304193,0.00120277869580651,-0.972082866016834,362.0339953,-1.59046228012066,0.256809313212578
1954,2,"L.Stuart","5470","2687","",NA,0,0,150,0,135111,0,0,2704,0,0,0,137815,137965,NA,"0.98",2687,78689,16,1247,3.93748687643284,0,1,0,0.00693458248915148,187.0299165,-0.126456819309181,-0.997332063827736
1955,2,"L.Stuart","7582","3274","",NA,0,0,29,0,50196,0,0,1120,0,0,0,51316,51345,NA,"0.98",3274,2687,78689,16,2.75199011543815,0,1,0,0.483746400203301,240.0020938,0.586559180536602,-0.617714629540566
1956,2,"L.Stuart","913","466","",NA,0,0,0,0,13472,0,0,32630,0,0,0,46102,46102,NA,"0.29",466,3274,2687,78689,4.59442597786598,0,1,0,1.36647286515604,125.0629748,1.90657279935999,-1.44140917407286
1957,2,"L.Stuart","531108","300029","",NA,0,0,874,0,1327094,0,0,1916,0,0,0,1329010,1329884,NA,"1",300029,466,3274,2687,1.48831044648847,0,1,0,0.0981750566451328,182.1236784,0.00998257982025027,-1.03249190838115
1958,2,"L.Stuart","23619","13152","",NA,0,0,672,0,53044,0,0,961,0,0,0,54005,54677,NA,"0.98",13152,300029,466,3274,1.41250279655661,0,1,0,-0.0312903871022449,162.859114,-0.183617766038533,-1.17054861820395
1959,2,"L.Stuart","8225","4090","",NA,0,0,67,0,6092,0,0,1233,0,0,0,7325,7392,NA,"0.83",4090,13152,300029,466,0.582748184848421,0,1,0,0.441754791719849,224.2375817,0.523765668304674,-0.730688721624771
1960,2,"L.Stuart","2396","1307","",NA,0,0,27,0,6658,0,0,2932,0,0,0,9590,9617,NA,"0.69",1307,4090,13152,300029,1.99298645425326,0,1,0,-0.0517373006852008,146.2015324,-0.214193720724396,-1.28992276347664
1961,2,"L.Stuart","410887","194469","",NA,0,0,143,0,770385,0,0,7535,415,0,0,778335,778478,NA,"0.99",194469,1307,4090,13152,1.38688425543796,0,0.999466908506085,0.00053309149391505,0.725798208551161,205.1036429,0.948519194386543,-0.867809322009527
1962,2,"L.Stuart","18643","9073","",NA,0,0,45,0,43107,0,0,1917,0,0,0,45024,45069,NA,"0.96",9073,194469,1307,4090,1.60189271074449,0,1,0,-0.577838242751929,161.1151013,-1.00091580958923,-1.18304683255502
1963,2,"L.Stuart","3222","1092","",NA,0,0,25,0,11911,0,0,113,0,0,0,12024,12049,NA,"0.99",1092,9073,194469,1307,2.39889377512796,0,1,0,-0.95382141285256,175.2447665,-1.56315442447861,-1.08178863393156
1964,2,"L.Stuart","1816","824","",NA,0,0,60,0,1806,0,0,1235,0,0,0,3041,3101,NA,"0.59",824,1092,9073,194469,1.30577115776789,0,1,0,-0.150942658373013,172.0482063,-0.362543666497425,-1.10469631950385
1965,2,"L.Stuart","214943","122789","",NA,0,0,228,0,1102448,0,0,21752,91,0,0,1124291,1124519,NA,"0.98",122789,824,1092,9073,2.2144404585892,0,0.999919076511824,8.09234881758334e-05,-0.126602682631722,220.7792867,-0.326146095181769,-0.755472091722495
1966,2,"L.Stuart","9027","4164","",NA,0,0,274,0,71954,0,0,1851,0,0,0,73805,74079,NA,"0.97",4164,122789,824,1092,2.87495032923624,0,1,0,-0.323645532829145,132.2029342,-0.620800505216139,-1.39024168943291
1967,2,"L.Stuart","1629","897","",NA,0,0,224,0,6294,0,0,10038,0,0,0,16332,16556,NA,"0.39",897,4164,122789,824,2.90182579038067,0,1,0,-0.4750702302964,202.78803,-0.847238332582841,-0.884403826383435
1968,2,"L.Stuart","389","179","",NA,0,0,0,0,27393,0,0,3906,0,0,0,31299,31299,NA,"0.88",179,897,4164,122789,5.16395562129532,0,1,0,-0.521399149570872,126.2276425,-0.91651778303066,-1.43306275173181
1969,2,"L.Stuart","207014","114306","",NA,0,0,2756,0,1602892,54,0,19888,0,0,0,1622780,1625590,NA,"0.99",114306,179,897,4164,2.65301694401737,0,0.999966781291716,3.32187082843768e-05,-1.13220755382625,158.6269034,-1.82990991991651,-1.20087814232821
1970,2,"L.Stuart","14978","8027","",NA,0,0,318,0,70520,0,0,0,0,0,0,70520,70838,NA,"1",8027,114306,179,897,2.17308549838023,0,1,0,-0.486720928821962,133.9360774,-0.864660582094042,-1.37782136977888
1971,2,"L.Stuart","1535","725","",NA,0,0,1243,0,65527,0,0,0,0,0,0,65527,66770,NA,"1",725,8027,114306,179,4.50404589557238,0,1,0,-0.272043663109771,228.2673373,-0.543635977482204,-0.701810061927384
1972,2,"L.Stuart","7341","3411","",NA,0,0,0,0,16180,0,0,2586,0,0,0,18766,18766,NA,"0.86",3411,725,8027,114306,1.70504121843135,0,1,0,-0.467030653629713,199.0080226,-0.835216091140052,-0.911492701787741
1973,2,"L.Stuart","214230","116706","",NA,0,0,290,0,658158,0,0,5807,1843,0,0,665808,666098,NA,"0.99",116706,3411,725,8027,1.74134338883643,0,0.997233139868308,0.00276686013169233,-0.621088196758358,279.1204321,-1.06559102956808,-0.337378725374824
1974,2,"L.Stuart","14190","7371","",NA,0,0,855,0,48593,0,0,1268,0,0,0,49861,50716,NA,"0.97",7371,116706,3411,725,1.91168575184438,0,1,0,-0.737391872763362,234.0968415,-1.23950949960517,-0.660033764626305
1975,2,"L.Stuart","14229","5679","",NA,0,0,541,0,214097,0,0,478,0,0,0,214575,215116,NA,"1",5679,7371,116706,3411,3.63188416670899,0,1,0,-0.227470526371413,319.9023766,-0.476982093335364,-0.0451208283913871
1976,2,"L.Stuart","2898","1674","",NA,0,0,0,0,3339,0,0,0,0,0,0,3339,3339,NA,"1",1674,5679,7371,116706,0.690455388894234,0,1,0,0.428149265204432,244.4852059,0.503420203424368,-0.585587056165859
1977,2,"L.Stuart","146459","75890","",NA,0,0,104,0,1313861,0,0,43776,0,0,0,1357637,1357741,NA,"0.97",75890,1674,5679,7371,2.88421604411042,0,1,0,0.0114386159865527,297.883815,-0.119721566892652,-0.202913660163208
1978,2,"L.Stuart","12738","7115","",NA,0,0,699,0,69820,0,0,8928,0,0,0,78748,79447,NA,"0.89",7115,75890,1674,5679,2.40404764901603,0,1,0,0.167214980449272,223.2043036,0.113223666705384,-0.738093559432469
1979,2,"L.Stuart","31918","16711","",NA,0,0,0,0,6854,0,0,0,0,0,0,6854,6854,NA,"1",16711,7115,75890,1674,-0.891234761768829,0,1,0,-0.0410747109308134,431.0079915,-0.198249071677908,0.751101464386378
1980,2,"L.Stuart","946","286","",NA,0,0,0,0,21440,0,0,0,0,0,0,21440,21440,NA,"1",286,16711,7115,75890,4.31702180436489,0,1,0,-0.548073692679124,308.7731516,-0.956406425296154,-0.124876807009707
1981,2,"L.Stuart","249494","120124","",NA,0,0,0,0,1978010,0,0,55891,0,0,0,2033901,2033901,NA,"0.97",120124,286,16711,7115,2.82918636026359,0,1,0,0.986431776779315,326.2901376,1.33826604490395,0.000656135389552768
1982,2,"L.Stuart","16758","8681","",NA,0,0,193,0,52097,0,0,8699,0,0,0,60796,60989,NA,"0.86",8681,120124,286,16711,1.94638726792454,0,1,0,-0.436006367904523,261.7616152,-0.788822920325,-0.461778171833649
1983,2,"L.Stuart","2246","1451","",NA,0,0,0,0,14195,0,0,3717,32,0,0,17944,17944,NA,"0.79",1451,8681,120124,286,2.51500282331586,0,0.998216674097191,0.00178332590280874,-0.157926814588662,270.3310462,-0.372987650774185,-0.400366586066701
1984,2,"L.Stuart","1228","672","",NA,0,0,222,0,14522,0,0,0,0,0,0,14522,14744,NA,"1",672,1451,8681,120124,3.07316167941704,0,1,0,-0.0220454342192144,212.1579015,-0.169793026217648,-0.817255999736889
1985,2,"L.Stuart","274621","159101","",NA,0,0,7755,0,3367086,0,0,132788,0,0,0,3499874,3507629,NA,"0.96",159101,672,1451,8681,3.09094302615038,0,1,0,0.173810217363771,364.3859048,0.123086067904572,0.273663931911923
1986,2,"L.Stuart","28715","15044","",NA,0,0,264,0,725126,0,0,91171,0,0,0,816297,816561,NA,"0.89",15044,159101,672,1451,3.99379901872303,0,1,0,0.0190167505233064,303.0355966,-0.108389357889123,-0.165994163690107
1987,2,"L.Stuart","6472","2393","",NA,0,0,984,0,283932,0,0,95155,0,0,0,379087,380071,NA,"0.75",2393,15044,159101,672,5.06521792126447,0,1,0,0.551989801594467,486.0193237,0.688609161824965,1.14533220684225
1988,2,"L.Stuart","7117","3638","",NA,0,0,1552,0,207234,0,0,0,0,0,0,207234,208786,NA,"1",3638,2393,15044,159101,4.04241450949176,0,1,0,0.482530806047859,277.2341688,0.584741402432224,-0.350896358042266
1989,2,"L.Stuart","575697","327096","",NA,0,0,20256,0,5162734,0,0,144134,0,0,0,5306868,5327124,NA,"0.97",327096,3638,2393,15044,2.78650340391574,0,1,0,-0.147952855331283,398.5924679,-0.35807276765234,0.518800310699286
1990,2,"L.Stuart","189079","111747","",NA,0,0,440,0,372685,44,0,16654,0,0,0,389339,389823,NA,"0.96",111747,327096,3638,2393,1.24821304191292,0,0.999887128260775,0.000112871739225238,1.20882506205331,453.748659,1.67082904935886,0.914069163475606
1991,2,"L.Stuart","76860","40200","",NA,0,0,354,0,91441,0,0,17786,0,0,0,109227,109581,NA,"0.84",40200,111747,327096,3638,0.999561289871159,0,1,0,0.99077678508446,434.867605,1.34476349384698,0.778760825373417
1992,2,"L.Stuart","19513","12422","",NA,0,0,0,0,128970,0,0,6429,0,0,0,135399,135399,NA,"0.95",12422,40200,111747,327096,2.38875688078942,0,1,0,0.639499638063847,424.2513281,0.819469831020799,0.702680815000497
1993,2,"L.Stuart","1363826","744565","",NA,0,0,4082,0,3249145,0,0,511029,0,0,0,3760174,3764256,NA,"0.86",744565,12422,40200,111747,1.61942035667853,0,1,0,1.07509927168943,401.9695761,1.47085785615612,0.543001867356731
1994,2,"L.Stuart","76462","40717","",NA,0,0,0,0,108011,0,0,7429,0,0,0,115440,115440,NA,"0.94",40717,744565,12422,40200,1.04210521880773,0,1,0,0.119495672141086,443.5715796,0.0418650529687832,0.841136598357789
1995,2,"L.Stuart","34362","17181","",NA,0,0,1366,0,92713,0,0,39375,0,0,0,132088,133454,NA,"0.7",17181,40717,744565,12422,2.0396642450497,0,1,0,1.07828784770654,501.0739726,1.47562599660998,1.25321916714494
1996,2,"L.Stuart","62991","27297","",NA,0,0,607,0,810002,0,0,212391,0,0,0,1022393,1023000,NA,"0.79",27297,17181,40717,744565,3.6231244309218,0,1,0,1.11279740434061,381.8192568,1.52723098019793,0.398597523366641
