"BY","Stock.ID","stock_name","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits","X","Return","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2","early_sst","np_pinks","early_sst_stnd","np_pinks_stnd"
1997,10,"Birkenhead","50202","23275","",NA,0,0,0,0,18165,0,0,10200,2217,0,0,30582,30582,NA,"0.59",23275,27848,18430,22315,0.273031777422829,0,0.927506376299784,0.0724936237002158,-0.536009117415546,401.8196412,-0.963010257114147,0.541927380617668
1998,10,"Birkenhead","295669","173045","",NA,0,0,277,0,213323,0,0,403021,1752,0,948,619044,619321,NA,"0.34",173045,23275,27848,18430,1.2746246762688,0,0.995640386810717,0.0043596131892831,0.448607872902714,382.8857158,0.541932948541752,0.406240147287113
1999,10,"Birkenhead","48916","26268","",NA,0,0,0,0,47311,0,0,36027,190,0,0,83528,83528,NA,"0.57",26268,173045,23275,27848,1.15683043665908,0,0.997725313667273,0.00227468633272675,-0.320467436316904,466.3283391,-0.633564399796366,1.00421961843369
2000,10,"Birkenhead","13842","8333","",NA,0,0,652,0,63710,0,0,37603,0,0,0,101313,101965,NA,"0.63",8333,26268,173045,23275,2.49799119930882,0,1,0,-0.303752993532308,361.2705607,-0.60801711861765,0.251338269754108
2001,10,"Birkenhead","44450","28361","",NA,0,0,56,0,110415,0,0,81203,0,0,0,191618,191674,NA,"0.58",28361,8333,26268,173045,1.91048884487122,0,1,0,0.793450806124152,594.4661709,1.06901000944267,1.92250082608639
2002,10,"Birkenhead","189445","107481","",NA,0,342,898,0,502582,0,0,129934,0,0,369,633227,634125,NA,"0.79",107481,28361,8333,26268,1.7735148798931,0.000539325842696629,0.998878769958604,0.000581904198698995,1.29794024646316,344.0283572,1.84009964432488,0.12777451633204
2003,10,"Birkenhead","309878","152651","",NA,0,0,80,0,6064,0,0,7010,184,0,0,13258,13338,NA,"0.46",152651,107481,28361,8333,-2.44355312627374,0,0.986204828310091,0.0137951716899085,1.10344845648885,548.7740497,1.54282760783172,1.59505485914324
2004,10,"Birkenhead","37617","17516","",NA,0,0,47,0,46487,0,0,29866,0,0,0,76353,76400,NA,"0.61",17516,152651,107481,28361,1.4722525746844,0,1,0,0.190119614924984,328.1716624,0.146845161706311,0.0141398102832349
2005,10,"Birkenhead","53546","27116","",NA,0,0,361,0,33023,0,0,51290,684,0,705,85701,86062,NA,"0.39",27116,17516,152651,107481,1.15074053457837,0,0.983872092212591,0.0161395273175153,-0.0486384429604343,657.1627969,-0.218085893255593,2.37180711315461
2006,10,"Birkenhead","266459","137364","",NA,0,0,179,0,257819,0,0,178240,5636,0,0,441695,441874,NA,"0.58",137364,27116,17516,152651,1.16798526191369,0,0.987245232803922,0.0127547671960785,-1.21611334869128,407.2142707,-2.0025192764186,0.58058721138358
