"BY","Stock.ID","stock_name","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits_psc","total_recruits","prop_4s","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2","early_sst","np_pinks","early_sst_stnd","np_pinks_stnd"
2005,4,"Bowron",1649,"825","",NA,0,0,0,0,1876,0,0,383,0,0,0,2259,2259,2259,"0.830455954",825,418,3038,4505,1.00729413013332,0,1,0,-0.124468407640517,657.1627969,-0.210782134418405,2.18627875356904
2006,4,"Bowron",1501,"614","",NA,0,0,0,128,14800,0,0,2635,0,0,0,17562,17562,17563,"0.848867221",614,825,418,3038,3.35355476727459,0.00728804873882594,0.992711951261174,0,-1.31039280860406,407.2142707,-1.98350041530462,0.491708847481487
2007,4,"Bowron",2069,"1023","",NA,0,0,0,0,8345,0,0,20,0,0,0,8364,8364,8365,"0.997609085",1023,614,825,418,2.1013168474693,0,1,0,-0.701690652720648,653.762543,-1.07361320961709,2.16322613541762
2008,4,"Bowron",1005,"275","",NA,0,0,0,0,234,0,0,548,0,0,0,783,783,782,"0.299232737",275,1023,614,825,1.04508364287874,0,1,0,-0.0443110595526545,435.5747755,-0.0909630328068158,0.683983867807378
2009,4,"Bowron",2170,"1009","",NA,0,0,0,0,4971,0,0,1141,0,0,0,6112,6112,6112,"0.813318063",1009,275,1023,614,1.80129431049275,0,1,0,-0.0838688911806388,577.8224288,-0.150094029034039,1.64837680165839
2010,4,"Bowron",8983,"4359","",NA,0,37,23,0,21678,0,0,3038,0,0,0,24753,24776,24776,"0.87708367",4359,1009,275,1023,1.73763276941465,0.00149338069099128,0.998506619309009,0,-0.164242508079457,355.8470816,-0.270236408988206,0.143455972649499
2011,4,"Bowron",4101,"2037","",NA,0,0,0,0,5187,0,0,93,0,0,0,5280,5280,5280,"0.982386364",2037,4359,1009,275,0.952447960473501,0,1,0,0.267699637403428,549.4208599,0.375430158763159,1.45582338005869
2012,4,"Bowron",NA,"30","",NA,0,0,32,0,186,0,0,0,0,0,0,186,218,218,"1",30,2037,4359,1009,1.98329768112693,0,1,0,0.415079240108154,432,0.595733000775807,0.659748049835513
2013,4,"Bowron",NA,"1924","",NA,0,0,0,0,367.0685826,0,0,167.1881367,0,0,0,510,510,534.2567193,"0.687064045",1924,30,2037,4359,-1.28128516003483,0,1,0,1.39421005316183,513,2.05933649039875,1.20890176752241
2014,4,"Bowron",NA,"6252","",NA,0,0,0,0,19393.82385,0,0,942.5981873,0,0,0,16573,16573,20336.42204,"0.953649753",6252,1924,30,2037,1.17951205501634,0,0.999999999867233,0,1.4252389708302,701,2.10571847692515,2.48348076659818
2015,4,"Bowron",NA,"2211","",NA,0,0,0,0,250,0,0,66.12903226,0,0,0,0,0,316.1290323,"0.790816327",2211,6252,1924,30,-1.94504972055128,0,0.999999999873469,0,0.503962605947976,639,0.72859574258543,2.06314088392426
2016,4,"Bowron",NA,"72","",NA,0,0,0,0,1719.354839,0,0,364.7047452,0,0,0,0,0,2084.059584,"0.825002726",72,2211,6252,1924,3.36540687461931,0,1.00000000009597,0,0.861214011810326,315,1.26261468808477,-0.133473986823343
1950,5,"Raft",6404,"1917","",NA,0,0,17,0,39549,0,0,5990,0,0,0,45539,45556,45556,"0.868464393",1917,72,2211,6252,3.1681808743486,0,1,0,-0.729533174388131,179.7949782,-1.12575304800141,-1.05012016424814
1951,5,"Raft",8544,"3365","",NA,0,0,8,0,34636,0,0,13009,0,0,0,47645,47653,47653,"0.726959807",3365,1917,72,2211,2.65051762409828,0,1,0,-0.185692629823738,294.413004,-0.307719475914462,-0.273047139778964
1952,5,"Raft",15617,"5116","",NA,0,0,5,0,46167,0,0,5010,0,0,0,51177,51182,51182,"0.902104461",5116,3365,1917,72,2.30301502401628,0,1,0,-0.737176942153715,260.8135208,-1.13725064359625,-0.50084073374981
1953,5,"Raft",7904,"3600","",NA,0,0,0,0,30285,0,0,1839,0,0,0,32124,32124,32124,"0.942753082",3600,5116,3365,1917,2.18866956886415,0,1,0,-1.06837290969173,362.0339953,-1.63542869062459,0.185401240049042
1954,5,"Raft",9988,"5352","",NA,0,0,231,0,38964,0,0,11293,0,0,0,50257,50488,50488,"0.775294984",5352,3600,5116,3365,2.24426536145601,0,1,0,-0.088176501828665,187.0299165,-0.16103775584559,-1.00106963011628
1955,5,"Raft",5079,"2905","",NA,0,0,7,0,52497,0,0,7860,158,0,0,60515,60522,60522,"0.86977484",2905,5352,3600,5116,3.03657354499688,0,0.997389379068768,0.00261062093123162,0.390939780071442,240.0020938,0.559638934123693,-0.641935456063632
1956,5,"Raft",9037,"5180","",NA,0,0,0,0,17335,0,0,8029,1776,0,0,27140,27140,27140,"0.683448983",5180,2905,5352,3600,1.65620359813533,0,0.934561532792926,0.0654384672070744,1.18836631628717,125.0629748,1.75911125081162,-1.42118538824273
1957,5,"Raft",6860,"3314","",NA,0,0,72,0,18932,0,0,2011,0,0,0,20943,21015,21015,"0.903977463",3314,5180,2905,5352,1.84708054945271,0,1,0,0.00306397232731629,182.1236784,-0.0237957430190046,-1.03433233249248
1958,5,"Raft",10214,"6235","",NA,0,0,23,0,22591,0,0,512,17,0,0,23120,23143,23143,"0.977838376",6235,3314,5180,2905,1.31151377986553,0,0.999265436633107,0.000734563366892797,-0.126053989760813,162.859114,-0.218012280942158,-1.16493982829345
1959,5,"Raft",10210,"5232","",NA,0,0,0,0,20417,0,0,3167,30,0,0,23614,23614,23614,"0.865714043",5232,6235,3314,5180,1.50704614233002,0,0.998729567205895,0.00127043279410519,0.34601675886421,224.2375817,0.492066665240129,-0.748813732943078
1960,5,"Raft",5513,"2690","",NA,0,0,64,0,14715,0,0,2049,120,0,0,16884,16948,16948,"0.877773801",2690,5232,6235,3314,1.84060863915057,0,0.99291951852726,0.00708048147274015,-0.141338135977197,146.2015324,-0.24100237399545,-1.27787282660596
1961,5,"Raft",7293,"3014","",NA,0,0,32,0,22139,0,0,2154,0,0,0,24293,24325,24325,"0.911332483",3014,2690,5232,6235,2.08823652786776,0,1,0,0.631382452410228,205.1036429,0.921307772722281,-0.87853562956053
1962,5,"Raft",7613,"4197","",NA,0,0,0,0,37568,0,0,2981,0,0,0,40549,40549,40549,"0.926484007",4197,3014,2690,5232,2.26814113499343,0,1,0,-0.672949327069746,161.1151013,-1.04064080838096,-1.17676366851442
1963,5,"Raft",8683,"2693","",NA,0,0,18,0,9090,0,0,265,444,0,0,9799,9817,9817,"0.971672902",2693,4197,3014,2690,1.29345976288092,0,0.954772333706835,0.0452276662931649,-1.01262016478891,175.2447665,-1.55156657787417,-1.08096912315329
1964,5,"Raft",5177,"2666","",NA,0,0,81,0,40283,0,0,8228,132,0,0,48643,48724,48724,"0.830388984",2666,2693,4197,3014,2.9055925000812,0,0.997290862819145,0.00270913718085543,-0.24598775915581,172.0482063,-0.398414148314194,-1.10264076411181
1965,5,"Raft",6624,"2669","",NA,0,0,73,0,18867,0,0,1686,0,0,0,20553,20626,20626,"0.91796818",2669,2666,2693,4197,2.04484854547149,0,1,0,-0.22169782026432,220.7792867,-0.361877730285459,-0.77225985091972
1966,5,"Raft",6244,"2666","",NA,0,0,320,0,20483,0,0,2736,0,0,0,23219,23539,23539,"0.882165468",2666,2669,2666,2693,2.17807939828967,0,1,0,-0.418756617146961,132.2029342,-0.658289450846274,-1.37277878023479
1967,5,"Raft",1279,"358","",NA,0,0,37,0,8226,0,0,1395,0,0,0,9621,9658,9658,"0.855004677",358,2666,2669,2666,3.29500888003279,0,1,0,-0.570181314614217,202.78803,-0.886059313555834,-0.894234733668662
1968,5,"Raft",8089,"3455","",NA,0,0,98,0,100888,0,0,5411,0,0,0,106299,106397,106397,"0.949096417",3455,358,2666,2669,3.42735492380169,0,1,0,-0.616510233888689,126.2276425,-0.955746304906176,-1.41328931913995
1969,5,"Raft",5537,"2577","",NA,0,0,381,0,10279,0,0,3710,0,0,0,13989,14370,14370,"0.734791622",2577,3455,358,2666,1.71851676842071,0,1,0,-1.22734008108827,158.6269034,-1.87454378485911,-1.19363284292338
1970,5,"Raft",4462,"1205","",NA,0,0,37,0,8300,0,0,523,0,0,0,8823,8860,8860,"0.94072311",1205,2577,3455,358,1.99506719767437,0,1,0,-0.581832013139779,133.9360774,-0.903584050590304,-1.36102863169696
1971,5,"Raft",801,"223","",NA,0,0,33,0,9570,0,0,2116,642,0,0,12328,12361,12361,"0.818928633",223,1205,2577,3455,4.0151298624277,0,0.948062454493973,0.051937545506027,-0.377281893120801,228.2673373,-0.595904038457399,-0.721493297521971
1972,5,"Raft",11048,"4507","",NA,0,0,87,0,56973,0,0,761,0,0,0,57734,57821,57821,"0.986818859",4507,223,1205,2577,2.55172028778375,0,1,0,-0.562141737947529,199.0080226,-0.873966350490741,-0.919861957330317
1973,5,"Raft",2714,"1345","",NA,0,0,22,0,1616,0,0,7723,0,0,0,9339,9361,9361,"0.173037798",1345,4507,223,1205,1.94015810933581,0,1,0,-0.715876592236982,279.1204321,-1.10521110277268,-0.376725815234263
1974,5,"Raft",2383,"1479","",NA,0,0,206,0,11541,0,0,476,0,0,0,12017,12223,12223,"0.960389448",1479,1345,4507,223,2.11195323906646,0,1,0,-0.832502957081179,234.0968415,-1.28063804139755,-0.681971150562695
1975,5,"Raft",2609,"1391","",NA,0,0,7,0,5632,0,0,797,280,0,0,6709,6716,6716,"0.876030487",1391,1479,1345,4507,1.57446982627399,0,0.95830851697439,0.0416914830256105,-0.29524784927749,319.9023766,-0.472510145544116,-0.100237464164191
1976,5,"Raft",8665,"3976","",NA,0,0,56,0,18539,0,0,1331,0,0,0,19870,19926,19926,"0.933014595",3976,1391,1479,1345,1.61174912282834,0,1,0,0.333038180886616,244.4852059,0.47254455970803,-0.61154141067447
1977,5,"Raft",617,"198","",NA,0,0,0,0,2728,0,0,3189,0,0,1023,6940,6940,6940,"0.461044448",198,3976,1391,1479,3.55679002280631,0,0.852593659942363,0.147406340057637,-0.0607100445783297,297.883815,-0.119723285341995,-0.249516167383426
1978,5,"Raft",2493,"1343","",NA,0,0,253,0,11888,0,0,6562,45,0,0,18495,18748,18748,"0.644336043",1343,198,3976,1391,2.63618116251936,0,0.99759974397269,0.00240025602730958,0.0716039475442944,223.2043036,0.0793006541104237,-0.755819023190231
1979,5,"Raft",1758,"693","",NA,0,0,0,0,1183,0,0,1856,0,0,0,3039,3039,3039,"0.389272787",693,1343,198,3976,1.47825379372689,0,1,0,-0.13618579524863,431.0079915,-0.233252330838636,0.653022554085488
1980,5,"Raft",5418,"2056","",NA,0,0,112,0,47827,0,0,3784,0,0,0,51611,51723,51723,"0.926682296",2056,693,1343,198,3.22514020926891,0,1,0,-0.643184776996941,308.7731516,-0.99586959472104,-0.175689998531154
1981,5,"Raft",815,"312","",NA,0,0,29,0,7366,0,0,1244,0,0,0,8610,8639,8639,"0.855516841",312,2056,693,1343,3.3210389265494,0,1,0,0.891320692461498,326.2901376,1.3123014365019,-0.0569305172401742
1982,5,"Raft",2992,"1533","",NA,0,0,0,0,2509,0,0,1233,28,0,0,3770,3770,3770,"0.67049706",1533,312,2056,693,0.899848401570242,0,0.992572944297082,0.00742705570291777,-0.529053942835229,261.7616152,-0.824196381151886,-0.494412961348846
1983,5,"Raft",2780,"1821","",NA,0,0,38,0,2855,0,0,1196,1512,0,0,5563,5601,5601,"0.704764256",1821,1533,312,2056,1.12355935248222,0,0.730048205677558,0.269951794322442,-0.216533698359661,270.3310462,-0.354109966129986,-0.436314999717841
1984,5,"Raft",19086,"6701","",NA,0,0,325,0,32692,0,0,14038,0,0,8,46738,47063,47063,"0.699593409",6701,1821,1533,312,1.94923036068263,0,0.999830015086161,0.000169984913838897,-0.117123226030972,212.1579015,-0.204578812936866,-0.830710045168989
1985,5,"Raft",3637,"1922","",NA,0,0,7,0,2830,0,0,1591,105,0,0,4526,4533,4533,"0.640126668",1922,6701,1821,1533,0.858017661410611,0,0.976836532097948,0.0231634679020516,0.0751135795453482,364.3859048,0.0845797691584426,0.201346423327908
1986,5,"Raft",2095,"1080","",NA,0,0,0,0,2902,0,0,111,0,0,0,3013,3013,3013,"0.963159642",1080,1922,6701,1821,1.02597521901204,0,1,0,-0.0760943337945101,303.0355966,-0.142864011400974,-0.214588759749463
1987,5,"Raft",1436,"723","",NA,0,0,0,0,1399,0,0,2421,0,0,0,3820,3820,3820,"0.366230366",723,1080,1922,6701,1.66459647944186,0,1,0,0.45687871727665,486.0193237,0.658822904279501,1.02598153670943
1988,5,"Raft",19851,"9207","",NA,0,0,0,0,41783,0,0,8304,88,0,310,50485,50485,50485,"0.834208477",9207,723,1080,1922,1.70171219815058,0,0.992116470238685,0.00788352976131524,0.382449285021537,277.2341688,0.546867709058038,-0.389514068366749
1989,5,"Raft",1647,"925","",NA,0,0,7,0,7357,0,0,3935,0,0,0,11292,11299,11299,"0.651523202",925,9207,723,1080,2.50267576769682,0,1,0,-0.2430639396491,398.5924679,-0.394016200167229,0.433255822039717
1990,5,"Raft",630,"412","",NA,0,0,0,0,1610,0,0,934,0,0,0,2544,2544,2544,"0.632861635",412,925,9207,723,1.82046957511049,0,1,0,1.113738592002,453.748659,1.64685778886604,0.807196901002854
1991,5,"Raft",464,"264","",NA,0,0,0,0,908,0,0,553,0,0,0,1461,1461,1461,"0.621492129",264,412,925,9207,1.71092730860438,0,1,0,0.895665700766644,434.867605,1.31883710711368,0.679189481275112
1992,5,"Raft",8236,"4112","",NA,0,0,6,0,65321,8,0,2024,0,0,0,67345,67359,67359,"0.969945801",4112,264,412,925,2.79612699606531,0,0.999881233391232,0.000118766608767945,0.544440288437297,424.2513281,0.790531188168968,0.60721456858834
1993,5,"Raft",5047,"2934","",NA,0,0,24,0,22386,0,0,10727,65,0,396,33574,33598,33598,"0.676048682",2934,4112,264,412,2.43809986166723,0,0.986278945175308,0.0137210548246919,0.966876297991533,401.9695761,1.4259505980083,0.456151519855284
1994,5,"Raft",1712,"800","",NA,0,0,0,0,4738,0,0,22745,989,0,0,28472,28472,28472,"0.172397482",800,2934,4112,264,3.5720646995221,0,0.965264119134588,0.0347358808654116,0.0576890786084003,443.5715796,0.0583701993024457,0.738199604858351
1995,5,"Raft",1040,"682","",NA,0,0,41,0,22745,0,0,4484,0,0,0,27229,27270,27270,"0.835322634",682,800,2934,4112,3.68851281799617,0,1,0,0.983176763388719,501.0739726,1.45046941711587,1.12804717142432
1996,5,"Raft",46592,"21381","",NA,0,593,0,0,89315,0,0,22684,0,0,0,112592,112592,112592,"0.797462477",21381,682,800,2934,1.66126798803635,0.00526680403581071,0.994733195964189,0,1.01750456495065,381.8192568,1.5021045782201,0.319538893235863
1997,5,"Raft",6093,"2367","",NA,0,0,0,0,25983,0,0,25281,0,0,0,51264,51264,51264,"0.50684691",2367,21381,682,800,3.07536542091405,0,1,0,-0.708340794027931,401.8196412,-1.09387591272646,0.455135009883111
1998,5,"Raft",7198,"3585","",NA,0,0,8,0,4905,0,0,11325,0,0,0,16230,16238,16238,"0.302218115",3585,2367,21381,682,1.51059570038867,0,1,0,0.356864507529339,382.8857158,0.508383621889149,0.326769139218711
1999,5,"Raft",6979,"3499","",NA,0,0,92,0,26426,0,0,34631,0,0,0,61057,61149,61149,"0.432808687",3499,3585,2367,21381,2.86083629538415,0,1,0,-0.415616627430288,466.3283391,-0.65356634399093,0.892483050314298
2000,5,"Raft",66292,"27668","",NA,0,0,53,0,107671,0,0,7672,0,0,0,115343,115396,115396,"0.933485344",27668,3499,3585,2367,1.42809318068986,0,1,0,-0.398864077850125,361.2705607,-0.628367509311178,0.180225401174958
2001,5,"Raft",32498,"16025","",NA,0,630,0,365,79275,0,0,16425,0,0,0,96695,96695,96695,"0.828369906",16025,27668,3499,3585,1.79741169200753,0.0102900873881793,0.989709912611821,0,0.687049398825229,594.4661709,1.00504082918189,1.76121597265144
2002,5,"Raft",18369,"8402","",NA,0,0,45,0,21369,0,0,21419,0,0,0,42788,42833,42833,"0.499415724",8402,16025,27668,3499,1.62883906078853,0,1,0,1.20320741175646,344.0283572,1.78143491619803,0.0633288560744758
2003,5,"Raft",10040,"4890","",NA,0,0,0,106,2439,0,0,5930,0,0,0,8475,8475,8475,"0.291432668",4890,8402,16025,27668,0.549928349779733,0.0125073746312684,0.987492625368732,0,1.02339066554105,548.7740497,1.51095832761367,1.45143821677514
2004,5,"Raft",5611,"3244","",NA,0,1272,4,1779,39136,0,0,8849,195,0,0,51231,51235,51235,"0.815588205",3244,4890,8402,16025,2.75961575599851,0.0595491363325851,0.936644871669757,0.00380599199765785,0.149321933036749,328.1716624,0.196202422327645,-0.0441743896001728
2005,5,"Raft",26456,"16967","",NA,0,198,0,0,6441,0,0,2470,0,0,0,9109,9109,9109,"0.722814499",16967,3244,4890,8402,-0.62200734529813,0.0217367438796794,0.978263256120321,0,-0.119697693646331,657.1627969,-0.208451273275955,2.18627875356904
2006,5,"Raft",6073,"3442","",NA,0,130,0,361,7228,0,0,9646,0,0,0,17366,17366,17365,"0.42835131",3442,16967,3244,4890,1.61840398840669,0.0282752663403398,0.97172473365966,0,-1.2853208293352,407.2142707,-1.9617572136385,0.491708847481487
2007,5,"Raft",14353,"8064","",NA,0,0,0,0,6253,0,0,4462,0,0,0,10716,10716,10715,"0.583574428",8064,3442,16967,3244,0.284234917596528,0,1,0,-0.701690652720648,653.762543,-1.08387290926735,2.16322613541762
2008,5,"Raft",10406,"3562","",NA,0,0,2,0,14908,0,0,3668,0,0,0,18576,18578,18578,"0.802540913",3562,8064,3442,16967,1.65165590009786,0,1,0,-0.0443110595526545,435.5747755,-0.0950562750698963,0.683983867807378
2009,5,"Raft",11464,"6039","",NA,0,0,5,0,20120,0,0,14989,0,0,0,35108,35113,35114,"0.573072432",6039,3562,8064,3442,1.76036147602125,0,1,0,-0.0838688911806388,577.8224288,-0.154558338007431,1.64837680165839
2010,5,"Raft",5119,"2389","",NA,0,0,26,0,37692,0,0,5842,0,0,0,43534,43560,43560,"0.865806037",2389,6039,3562,8064,2.90326442972109,0,1,0,-0.164362716003191,355.8470816,-0.275635465685132,0.143455972649499
2011,5,"Raft",9241,"4430","",NA,0,0,29,0,17922,0,0,5338,0,0,0,23260,23289,23289,"0.770507309",4430,2389,6039,3562,1.65958156203461,0,1,0,0.267699637403428,549.4208599,0.374263689230963,1.45582338005869
2012,5,"Raft",NA,"1710","",NA,0,0,0,0,16751,0,0,4282,0,0,0,21033,21033,21033,"0.796415157",1710,4430,2389,6039,2.50959926237837,0,1,0,0.415079240108154,432,0.595949005006508,0.659748049835513
2013,5,"Raft",NA,"9045","",NA,0,0,4,0,2784.841962,0,0,2538.884921,0,0,0,5964,5968,5327.726883,"0.523100081",9045,1710,4430,2389,-0.529287447621243,0,1,0,1.39421005316183,513,2.06873709436135,1.20890176752241
2014,5,"Raft",NA,"9471","",NA,0,0,3,0,11136.4725,0,0,375,0,0,0,13946,13949,11514.4725,"0.967423803",9471,9045,1710,4430,0.195370224166096,0,1,0,1.42523897101942,701,2.11541014359745,2.48348076659818
2015,5,"Raft",NA,"8794","",NA,0,0,0,0,166.6666667,0,0,539.3258427,0,0,0,0,0,705.9925094,"0.236074271",8794,9471,9045,1710,-2.52222032221881,0,1,0,0.503962606011743,639,0.72964550490146,2.06314088392426
2016,5,"Raft",NA,"3753","",NA,0,0,0,0,2292.134831,0,0,1208.98299,0,0,0,0,0,3501.117821,"0.654686574",3753,8794,9471,9045,-0.0694732252190589,0,1,0,0.861214011727678,315,1.26701559705774,-0.133473986823343
1950,6,"Quesnel",398,"264","",NA,0,0,34,0,2014,0,0,0,0,0,0,2014,2048,2048,"1",264,3753,8794,9471,2.04866988301308,0,1,0,-0.729533174388131,179.7949782,-1.11566115628181,-1.05012016424814
1951,6,"Quesnel",49,"9","",NA,0,0,0,0,413,0,0,0,0,0,0,413,413,413,"1",9,264,3753,8794,3.82622301562481,0,1,0,-0.185692629823738,294.413004,-0.301719903392284,-0.273047139778964
1952,6,"Quesnel",184,"51","",NA,0,0,0,0,562,0,0,0,0,0,0,562,562,562,"1",51,9,264,3753,2.39967621716937,0,1,0,-0.737176942153715,260.8135208,-1.12710123366129,-0.50084073374981
1953,6,"Quesnel",110917,"47564","",NA,0,0,5902,0,604123,0,0,220,0,0,0,604343,610245,610245,"0.999635968",47564,51,9,264,2.5517843433008,0,1,0,-1.06837290969173,362.0339953,-1.62278708030183,0.185401240049042
1954,6,"Quesnel",299,"146","",NA,0,0,0,0,10692,0,0,0,0,0,0,10692,10692,10692,"1",146,47564,51,9,4.29364445555047,0,1,0,-0.088176501828665,187.0299165,-0.155771977680307,-1.00106963011628
1955,6,"Quesnel",63,"30","",NA,0,0,0,0,180,0,0,0,0,0,0,180,180,180,"1",30,146,47564,51,1.79175946922805,0,1,0,0.388635315885484,240.0020938,0.55785044746206,-0.641935456063632
1956,6,"Quesnel",80,"38","",NA,0,0,18,0,1115,0,0,0,0,0,0,1115,1133,1133,"1",38,30,146,47564,3.39503810130162,0,1,0,1.27136178083822,125.0629748,1.87898674747417,-1.42118538824273
1957,6,"Quesnel",223667,"134562","",NA,0,1420,8359,0,989580,0,0,144,30,0,0,991174,999533,999533,"0.999854505",134562,38,30,146,2.00526311053147,0.00142066344983107,0.998549322533623,3.00140165457269e-05,0.00486191088939784,182.1236784,-0.0165256434901085,-1.03433233249248
1958,6,"Quesnel",1863,"1269","",NA,0,0,27,0,3362,0,0,23,0,0,0,3385,3412,3412,"0.993205318",1269,134562,38,30,0.989069440897182,0,1,0,-0.126401471420061,162.859114,-0.21298154021082,-1.16493982829345
1959,6,"Quesnel",65,"29","",NA,0,0,0,0,165,0,0,0,0,0,0,165,165,165,"1",29,1269,134562,38,1.73864964391411,0,1,0,0.346643707402033,224.2375817,0.495003528891023,-0.748813732943078
1960,6,"Quesnel",292,"123","",NA,0,0,6,0,1469,0,0,0,0,0,0,1469,1475,1475,"1",123,29,1269,134562,2.4842289134015,0,1,0,-0.146848385003017,146.2015324,-0.243583499968649,-1.27787282660596
1961,6,"Quesnel",302565,"69990","",NA,0,0,44481,0,1195807,0,0,509,93,0,0,1196409,1240890,1240890,"0.999574527",69990,123,29,1269,2.87523176837956,0,0.999925053792036,7.4946207963639e-05,0.63128469768943,205.1036429,0.921012671780162,-0.87853562956053
1962,6,"Quesnel",1078,"566","",NA,0,0,30,0,7257,0,0,0,0,0,0,7257,7287,7287,"1",566,69990,123,29,2.5552531394671,0,1,0,-0.672949327069746,161.1151013,-1.03097470169515,-1.17676366851442
1963,6,"Quesnel",83,"40","",NA,0,0,0,0,956,0,0,0,0,0,0,956,956,956,"1",40,566,69990,123,3.17387845893747,0,1,0,-1.04893249717038,175.2447665,-1.59369150461798,-1.08096912315329
1964,6,"Quesnel",254,"77","",NA,0,0,0,0,2812,0,0,0,0,0,0,2812,2812,2812,"1",77,40,566,69990,3.59784583107687,0,1,0,-0.24605374269083,172.0482063,-0.392059618450123,-1.10264076411181
1965,6,"Quesnel",364706,"105401","",NA,0,0,14161,0,1652107,0,0,821,83,0,0,1653011,1667172,1667172,"0.999503306",105401,77,40,566,2.76111193306401,0,0.999950215094783,4.97849052167383e-05,-0.221707630817845,220.7792867,-0.35562190706772,-0.77225985091972
1966,6,"Quesnel",1753,"1040","",NA,0,0,28,0,7038,0,0,396,0,0,0,7434,7462,7462,"0.946731235",1040,105401,77,40,1.97060276164568,0,1,0,-0.418756617146961,132.2029342,-0.650536106489536,-1.37277878023479
1967,6,"Quesnel",119,"24","",NA,0,0,11,0,1750,0,0,0,0,0,0,1750,1761,1761,"1",24,1040,105401,77,4.29558327814826,0,1,0,-0.570181314614217,202.78803,-0.877166520876234,-0.894234733668662
1968,6,"Quesnel",699,"333","",NA,0,0,0,0,428,0,0,0,0,0,0,428,428,428,"1",333,24,1040,105401,0.250980705601353,0,1,0,-0.616510233888689,126.2276425,-0.946504894000816,-1.41328931913995
1969,6,"Quesnel",278961,"78639","",NA,0,69,6413,0,1626582,0,0,7768,0,0,0,1634419,1640832,1640832,"0.99524704",78639,333,24,1040,3.03809094966653,4.20518371167798e-05,0.999957948162883,0,-1.22731439457103,158.6269034,-1.86066752638442,-1.19363284292338
1970,6,"Quesnel",1368,"388","",NA,0,0,0,0,20339,0,0,0,0,0,0,20339,20339,20339,"1",388,78639,333,24,3.95929016456222,0,1,0,-0.581832013139779,133.9360774,-0.894603588137429,-1.36102863169696
1971,6,"Quesnel",171,"16","",NA,0,0,0,0,747,0,0,0,0,0,0,747,747,747,"1",16,388,78639,333,3.84347646289304,0,1,0,-0.367154747427588,228.2673373,-0.573305949763228,-0.721493297521971
1972,6,"Quesnel",111,"46","",NA,0,0,9,0,856,0,0,0,0,0,0,856,865,865,"1",46,16,388,78639,2.93408811044278,0,1,0,-0.562141737947529,199.0080226,-0.865134054429609,-0.919861957330317
1973,6,"Quesnel",278311,"112413","",NA,0,527,5114,0,2326864,0,0,3929,0,0,0,2331320,2336434,2336434,"0.998314308",112413,46,16,388,3.03420152522829,0.000225557409282693,0.999774442590717,0,-0.715841916201532,279.1204321,-1.09517007676702,-0.376725815234263
1974,6,"Quesnel",4459,"2587","",NA,0,0,21,0,29304,0,0,1570,129,0,0,31003,31024,31024,"0.949148151",2587,112413,46,16,2.4842621952964,0,0.995841928829293,0.00415807117070655,-0.830382667831419,234.0968415,-1.26659797750071,-0.681971150562695
1975,6,"Quesnel",193,"105","",NA,0,0,0,0,1865,0,0,0,0,0,0,1865,1865,1865,"1",105,2587,112413,46,2.87705598192039,0,1,0,-0.322581610689229,319.9023766,-0.50659537600287,-0.100237464164191
1976,6,"Quesnel",305,"209","",NA,0,0,0,0,1233,0,0,0,0,0,0,1233,1233,1233,"1",209,105,2587,112413,1.77487125119953,0,1,0,0.333038180886616,244.4852059,0.474640760044779,-0.61154141067447
1977,6,"Quesnel",516199,"160712","Fall fry in lake",49600000,0,0,8446,0,3810786,0,0,54029,5261,0,0,3870076,3878522,3878522,"0.986020288",160712,209,105,2587,3.18359548895098,0,0.998643555457466,0.0013564445425345,-0.0834611663318325,297.883815,-0.148714750850777,-0.249516167383426
1978,6,"Quesnel",8614,"4349","brood year ",NA,0,0,142,0,186073,0,0,10473,36,0,0,196582,196724,196724,"0.946714764",4349,160712,209,105,3.8118557975546,0,0.999817002500966,0.00018299749903418,0.0720657796388588,223.2043036,0.0840553111218235,-0.755819023190231
1979,6,"Quesnel",511,"238","t+1",NA,0,0,0,0,2103,0,0,3908,0,0,0,6011,6011,6011,"0.349858593",238,4349,160712,209,3.22907572936769,0,1,0,-0.13618579524863,431.0079915,-0.227625289882116,0.653022554085488
1980,6,"Quesnel",308,"98","",NA,0,0,0,0,2446,0,0,0,0,0,0,2446,2446,2446,"1",98,238,4349,160712,3.21724183757655,0,1,0,-0.643184776996941,308.7731516,-0.986427461846832,-0.175689998531154
1981,6,"Quesnel",748621,"332306","",67584371,0,0,19608,0,9553856,0,0,213188,0,0,0,9767044,9786652,9786652,"0.97817272",332306,98,238,4349,3.38271846425056,0,1,0,0.891320692461498,326.2901376,1.31019664398783,-0.0569305172401742
1982,6,"Quesnel",39841,"20053","",NA,0,0,0,0,499074,0,0,56312,0,0,156,555542,555542,555542,"0.898607455",20053,332306,98,238,3.32156544528744,0,0.999719193148313,0.000280806851687181,-0.531039433745354,261.7616152,-0.818584659201369,-0.494412961348846
1983,6,"Quesnel",2155,"1098","",NA,0,0,33,0,31515,0,0,8864,0,0,0,40379,40412,40412,"0.780479952",1098,20053,332306,98,3.60563642747815,0,1,0,-0.253280652600751,270.3310462,-0.402875803755528,-0.436314999717841
