stock_name	Stock.ID	BY	total_adult_spawner	total_effective_female_spawner	juv_type	juvenile_estimate	age.21	age.31 	age.32 	age.41	age.42	age.43	age.51	age.52	age.53	age.62 	age.63	recruits_no_jacks	total_recruits_psc	total_recruits	prop_4s
E.Stuart	1	1993	688013	386816	t+1	498394567	0	0	847	0	1652166	0	0	161770	0	0	0	1813936	1814783	1814783	0.910818243
E.Stuart	1	1994	29125	14498		12509636	0	0	6	0	27990	0	0	1034	0	0	0	29024	29030	29030	0.964374311
E.Stuart	1	1995	122856	57322		44420729	0	0	20	0	170595	0	0	18985	0	0	0	189580	189600	189600	0.89985758
E.Stuart	1	1996	87570	41063		30930914	0	0	0	0	359206	0	0	104940	0	0	0	464146	464146	464146	0.773907348
E.Stuart	1	1997	266941	73417		30074781	0	0	1	0	109249	0	0	38121	201	0	0	147571	147572	147572	0.741324557
E.Stuart	1	1998	32570	9375		5505462	0	0	2	0	24341	0	0	4349	0	0	0	28690	28692	28692	0.848414082
E.Stuart	1	1999	24552	8189		6104258	0	0	0	0	25927	0	0	4639	0	0	0	30566	30566	30566	0.84823006
E.Stuart	1	2000	89858	35334		35070706	0	0	0	0	132457	0	0	3417	0	0	0	135874	135874	135874	0.974851701
E.Stuart	1	2001	170981	82849		51804034	0	0	5	0	216279	0	0	35722	0	0	0	252001	252006	252006	0.858246594
E.Stuart	1	2002	24637	12939		11603591	0	0	0	0	20266	0	0	4300	0	0	19	24585	24585	24585	0.824961329
E.Stuart	1	2003	13166	6932		6457973	0	0	0	0	8431	0	0	1588	12	0	0	10031	10031	10031	0.841501148
E.Stuart	1	2004	9281	5253		5855048	0	0	0	0	32387	0	0	5077	0	0	0	37464	37464	37464	0.864483237
E.Stuart	1	2005	98537	51183		31630751	0	0	49	0	76119	0	0	7852	1021	0	0	84992	85041	85041	0.906491527
E.Stuart	1	2006	35816	15914		12292381	0	0	0	0	96107	0	0	12590	0	0	0	108697	108697	108697	0.884173436
E.Stuart	1	2007	5347	2376		1170443	0	0	0	0	12528	0	0	147	0	0	0	12675	12675	12675	0.988402367
E.Stuart	1	2008	29867	14446			0	0	1	0	183796	0	0	9161	131	0	0	193088	193089	193089	0.952523101
E.Stuart	1	2009	45297	21677			0	0	3	0	172827	0	0	18102	0	0	0	190929	190932	190932	0.905189887
E.Stuart	1	2010	75046	42573			0	0	53	0	109754	0	0	26470	0	0	0	136224	136277	136277	0.805687691
E.Stuart	1	2011	757	233			0	0	7	0	2258	0	0	235	0	0	0	2493	2500	2500	0.905736061
E.Stuart	1	2012		6812			0	0	9	0	17601	0	0	2129	0	0	0	19731	19740	19739	0.892093259
E.Stuart	1	2013		39658			0	0	4	0	20168	0	0	5449.90359	0	0	0	25617.66629	25621.66629	25621.90359	0.787261921
E.Stuart	1	2014		23298			0	0	10	0	89230.78217	0	0	23000	0	0	0	112230.7822	112240.7822	112240.7822	0.795065137
E.Stuart	1	2015		4060			0	0	0	0	3000	0	0	1428.571429	0	0	0	4428.571429	4428.571429	4428.571429	0.677419355
