"","2.5%","25%","50%","75%","97.5%",""
"b[(Intercept) Stock:L.Stuart]","-0.428044887712959","-0.0999948766393398","-0.0120642628132236","0.0330373326840688","0.235475387421689","ce_sha"
"b[(Intercept) Stock:Nadina]","-0.213221789952185","-0.0219370537187103","0.0175836229696067","0.120218353906051","0.452089453892769","ce_sha"
"b[(Intercept) Stock:Pitt]","-0.313379007641405","-0.0598801674441443","-0.000979405842572822","0.0569045308873354","0.306674558374751","ce_sha"
"b[(Intercept) Stock:Portage]","-0.427603094216971","-0.108387026764569","-0.0129659555101671","0.0277296767307611","0.225474734081444","ce_sha"
"b[(Intercept) Stock:Quesnel]","-0.478419008035031","-0.128071362677506","-0.022456049399864","0.0196246644904817","0.190226987175952","ce_sha"
"b[(Intercept) Stock:Raft]","-0.394201223998783","-0.0914901997046097","-0.0063116516099332","0.0442493265116873","0.245528873504269","ce_sha"
"b[(Intercept) Stock:Scotch]","-0.318962771357349","-0.0578818742501244","0.0002135454910035","0.0671983578281839","0.331564207624891","ce_sha"
"b[(Intercept) Stock:Seymour]","-0.411810471205031","-0.107666159431928","-0.0126215566908616","0.0313068508999031","0.22905124122355","ce_sha"
"b[(Intercept) Stock:Stellako]","-0.393409218720578","-0.0907690733948473","-0.00839506643367008","0.0394701435332495","0.288843363732626","ce_sha"
"b[(Intercept) Stock:Weaver]","-0.438455199171378","-0.105839551555074","-0.0151125619166312","0.0274357221917008","0.245112643464889","ce_sha"
"b[(Intercept) Stock:Birkenhead]","-0.730496010966394","-0.302610831248362","-0.11666424149456","0.000942762941458861","0.198466238449751","de_sal"
"b[(Intercept) Stock:Bowron]","-0.669344736103677","-0.28217901706315","-0.109337253030615","-0.00372452397932768","0.176784935721847","de_sal"
"b[(Intercept) Stock:Chilko]","-0.205938133193651","-0.00690865321158843","0.0862674810341744","0.236841031795747","0.619985030023467","de_sal"
"b[(Intercept) Stock:E.Stuart]","-0.392534964925323","-0.0981099761871992","0.00145287205963626","0.0978975065195732","0.391397580481647","de_sal"
"b[(Intercept) Stock:Fennell]","-0.704863455478011","-0.285604086608289","-0.120432013924811","-0.00856008062380851","0.170344115089357","de_sal"
"b[(Intercept) Stock:Gates]","-0.162361156584571","0.0204666083947098","0.161099835698426","0.348597781806033","0.76986300313347","de_sal"
"b[(Intercept) Stock:Harrison]","-0.156986507111207","0.0135271316411112","0.132202417962561","0.313159037891489","0.711902626194762","de_sal"
"b[(Intercept) Stock:L.Shuswap]","-0.229315765013653","-0.0144088868080345","0.0712128230821606","0.206243690054898","0.542271308369396","de_sal"
"b[(Intercept) Stock:L.Stuart]","-0.534642669670687","-0.174270600120315","-0.0411730238778136","0.042083070091324","0.291443277805093","de_sal"
"b[(Intercept) Stock:Nadina]","-0.277959287541628","-0.0277270906578391","0.0571718883221088","0.19474357509229","0.548726808466199","de_sal"
"b[(Intercept) Stock:Pitt]","-0.417672747276898","-0.0961789796719424","0.0120155799557044","0.134171733549363","0.435321341861229","de_sal"
"b[(Intercept) Stock:Portage]","-0.548933902649141","-0.208672866300323","-0.0656768790867476","0.0235455450622177","0.26249257846107","de_sal"
"b[(Intercept) Stock:Quesnel]","-0.581313193790851","-0.221462193601483","-0.0758165599952796","0.0104971513998505","0.225221285567861","de_sal"
"b[(Intercept) Stock:Raft]","-0.484848644811552","-0.15478283403225","-0.0326539256403854","0.0473936159010942","0.313410618634274","de_sal"
"b[(Intercept) Stock:Scotch]","-0.360297624804048","-0.0884421134544331","0.00432240947875905","0.106059658382473","0.389110947413633","de_sal"
"b[(Intercept) Stock:Seymour]","-0.525030939436516","-0.185403227197168","-0.0474219827337064","0.0345580169008384","0.274736215627994","de_sal"
"b[(Intercept) Stock:Stellako]","-0.50740708727625","-0.163127041284722","-0.0348372769140388","0.0489001937127567","0.321322818552254","de_sal"
"b[(Intercept) Stock:Weaver]","-0.52558397986857","-0.178836813600043","-0.0434479071049859","0.0335897842102373","0.275398886395021","de_sal"
"b[(Intercept) Stock:Birkenhead]","-0.68415010582696","-0.258707688041888","-0.0904049087677874","0.00255121949677612","0.191664944485465","fa_mar"
"b[(Intercept) Stock:Bowron]","-0.651053569774129","-0.25307535864072","-0.0920137057726179","0.000225174350829122","0.15319366362337","fa_mar"
"b[(Intercept) Stock:Chilko]","-0.213762434984981","-0.008303987919021","0.0703008734015184","0.209683716964722","0.582544692503512","fa_mar"
